id,season,week,neutral_site,conference_game,home_id,home_team,home_conference,home_pregame_elo,away_id,away_team,away_conference,away_pregame_elo
401013357,2018,1,false,false,113,UMass,FBS Independents,,2184,Duquesne,NEC,
401014972,2018,1,false,false,242,Rice,Conference USA,,2504,Prairie View,SWAC,
401022510,2018,1,false,true,36,Colorado State,Mountain West,1529,62,Hawai'i,Mountain West,1217
401013437,2018,1,false,false,166,New Mexico State,FBS Independents,1339,2751,Wyoming,Mountain West,1537
401021651,2018,1,false,false,2247,Georgia State,Sun Belt,,338,Kennesaw State,Big South,
401019470,2018,1,false,true,41,Connecticut,American Athletic,1241,2116,UCF,American Athletic,1728
401020671,2018,1,false,false,2050,Ball State,Mid-American,,2115,Central Connecticut,NEC,
401013328,2018,1,false,false,135,Minnesota,Big Ten,1499,166,New Mexico State,FBS Independents,1304
401013489,2018,1,false,false,197,Oklahoma State,Big 12,,2623,Missouri State,MVFC,
401014979,2018,1,true,false,5,UAB,Conference USA,,2542,Savannah State,MEAC,
401012675,2018,1,false,false,254,Utah,Pac-12,,2692,Weber State,Big Sky,
401013086,2018,1,false,false,2655,Tulane,American Athletic,1390,154,Wake Forest,ACC,1591
401013342,2018,1,false,true,2509,Purdue,Big Ten,1555,77,Northwestern,Big Ten,1691
401021655,2018,1,false,false,2433,Louisiana Monroe,Sun Belt,,2545,Southeastern Louisiana,Southland,
401012258,2018,1,false,false,245,Texas A&M,SEC,,2466,Northwestern State,Southland,
401022511,2018,1,false,false,23,San José State,Mountain West,,302,UC Davis,Big Sky,
401020673,2018,1,false,false,2711,Western Michigan,Mid-American,1553,183,Syracuse,ACC,1341
401020672,2018,1,false,false,2199,Eastern Michigan,Mid-American,,2405,Monmouth,Big South,
401012880,2018,1,false,false,127,Michigan State,Big Ten,1623,328,Utah State,Mountain West,1475
401013089,2018,1,false,false,150,Duke,ACC,1594,349,Army,FBS Independents,1522
401022512,2018,1,false,false,24,Stanford,Pac-12,1757,21,San Diego State,Mountain West,1584
401013354,2018,1,false,false,275,Wisconsin,Big Ten,1852,98,Western Kentucky,Conference USA,1436
401022517,2018,1,false,false,2440,Nevada,Mountain West,,2502,Portland State,Big Sky,
401012680,2018,1,true,false,36,Colorado State,Mountain West,1482,38,Colorado,Pac-12,1495
401012253,2018,1,true,false,2641,Texas Tech,Big 12,1518,145,Ole Miss,SEC,1533
401012820,2018,1,false,false,164,Rutgers,Big Ten,1231,326,Texas State,Sun Belt,1131
401019473,2018,1,false,false,218,Temple,American Athletic,,222,Villanova,CAA,
401012872,2018,1,true,false,120,Maryland,Big Ten,1302,251,Texas,Big 12,1657
401013072,2018,1,false,false,2628,TCU,Big 12,,2582,Southern,SWAC,
401014977,2018,1,false,false,242,Rice,Conference USA,1164,248,Houston,American Athletic,1573
401012804,2018,1,false,false,356,Illinois,Big Ten,1305,2309,Kent State,Mid-American,1129
401012256,2018,1,false,false,2579,South Carolina,SEC,1572,324,Coastal Carolina,Sun Belt,1315
401013065,2018,1,false,false,201,Oklahoma,Big 12,1875,2226,Florida Atlantic,Conference USA,1642
401013091,2018,1,false,false,152,NC State,ACC,1632,256,James Madison,CAA,1474
401012682,2018,1,false,false,194,Ohio State,Big Ten,1915,204,Oregon State,Pac-12,1229
401013088,2018,1,false,false,228,Clemson,ACC,,231,Furman,Southern,
401013090,2018,1,false,false,59,Georgia Tech,ACC,,2016,Alcorn State,SWAC,
401013087,2018,1,false,false,103,Boston College,ACC,1610,113,UMass,FBS Independents,1378
401020675,2018,1,false,false,195,Ohio,Mid-American,,47,Howard,MEAC,
401022514,2018,1,false,false,2005,Air Force,Mountain West,,2619,Stony Brook,CAA,
401012250,2018,1,false,false,61,Georgia,SEC,,2046,Austin Peay,OVC,
401012251,2018,1,false,false,96,Kentucky,SEC,1453,2117,Central Michigan,Mid-American,1424
401013349,2018,1,false,false,213,Penn State,Big Ten,1923,2026,Appalachian State,Sun Belt,1652
401012248,2018,1,true,false,2,Auburn,SEC,1829,264,Washington,Pac-12,1839
401013092,2018,1,false,false,221,Pittsburgh,ACC,,399,Albany,CAA,
401012257,2018,1,true,false,2633,Tennessee,SEC,1411,277,West Virginia,Big 12,1568
401012683,2018,1,false,false,2751,Wyoming,Mountain West,1572,265,Washington State,Pac-12,1552
401012862,2018,1,false,false,2294,Iowa,Big Ten,1712,2459,Northern Illinois,Mid-American,1515
401012684,2018,1,false,false,25,California,Pac-12,1556,153,North Carolina,ACC,1461
401012678,2018,1,false,false,30,USC,Pac-12,1713,2439,UNLV,Mountain West,1350
401012255,2018,1,false,false,142,Missouri,SEC,,2630,UT Martin,OVC,
401012247,2018,1,false,false,8,Arkansas,SEC,,2197,Eastern Illinois,OVC,
401014973,2018,1,false,false,2429,Charlotte,Conference USA,,2230,Fordham,Patriot,
401021656,2018,1,false,false,2653,Troy,Sun Belt,1594,68,Boise State,Mountain West,1648
401021653,2018,1,false,false,290,Georgia Southern,Sun Belt,,2569,South Carolina State,MEAC,
401013448,2018,1,false,false,2335,Liberty,FBS Independents,1444,295,Old Dominion,Conference USA,1251
401014975,2018,1,false,false,193,Miami (OH),Mid-American,1385,276,Marshall,Conference USA,1476
401019472,2018,1,false,false,58,South Florida,American Athletic,,2210,Elon,CAA,
401020674,2018,1,false,false,2084,Buffalo,Mid-American,,2169,Delaware State,MEAC,
401013094,2018,1,false,false,258,Virginia,ACC,,257,Richmond,CAA,
401013048,2018,1,false,false,2305,Kansas,Big 12,,2447,Nicholls,Southland,
401013057,2018,1,false,false,2306,Kansas State,Big 12,,233,South Dakota,MVFC,
401014978,2018,1,false,false,2572,Southern Mississippi,Conference USA,,2296,Jackson State,SWAC,
401019474,2018,1,false,false,235,Memphis,American Athletic,,2382,Mercer,Southern,
401014974,2018,1,false,false,6,South Alabama,Sun Belt,1233,2348,Louisiana Tech,Conference USA,1537
401019476,2018,1,false,false,202,Tulsa,American Athletic,,2110,Central Arkansas,Southland,
401021652,2018,1,false,false,2032,Arkansas State,Sun Belt,,2546,Southeast Missouri State,OVC,
401020676,2018,1,false,false,2649,Toledo,Mid-American,,2678,VMI,Southern,
401012851,2018,1,false,false,2229,Florida International,Conference USA,1377,84,Indiana,Big Ten,1559
401012679,2018,1,false,false,26,UCLA,Pac-12,1471,2132,Cincinnati,American Athletic,1289
401021654,2018,1,false,false,309,Louisiana,Sun Belt,,2755,Grambling,SWAC,
401012249,2018,1,false,false,57,Florida,SEC,,2127,Charleston Southern,Big South,
401014976,2018,1,false,false,249,North Texas,Conference USA,1335,2567,SMU,American Athletic,1388
401012254,2018,1,false,false,344,Mississippi State,SEC,,2617,Stephen F. Austin,Southland,
401012888,2018,1,false,false,87,Notre Dame,FBS Independents,1723,130,Michigan,Big Ten,1701
401012259,2018,1,false,false,238,Vanderbilt,SEC,1414,2393,Middle Tennessee,Conference USA,1421
401014980,2018,1,false,false,2638,UTEP,Conference USA,,2464,Northern Arizona,Big Sky,
401013026,2018,1,false,false,239,Baylor,Big 12,,2000,Abilene Christian,Southland,
401012246,2018,1,true,false,333,Alabama,SEC,1986,97,Louisville,ACC,1701
401022515,2018,1,false,false,167,New Mexico,Mountain West,,2916,Incarnate Word,Southland,
401012681,2018,1,false,false,2483,Oregon,Pac-12,1614,189,Bowling Green,Mid-American,1266
401022516,2018,1,false,false,278,Fresno State,Mountain West,,70,Idaho,Big Sky,
401012677,2018,1,false,false,9,Arizona State,Pac-12,1498,2636,UT San Antonio,Conference USA,1429
401012676,2018,1,false,false,12,Arizona,Pac-12,1513,252,BYU,FBS Independents,1395
401019475,2018,1,false,false,62,Hawai'i,Mountain West,1264,2426,Navy,American Athletic,1633
401079833,2018,1,false,false,151,East Carolina,American Athletic,,2448,North Carolina A&T,MEAC,
401013095,2018,1,true,false,99,LSU,SEC,1736,2390,Miami,ACC,1696
401013096,2018,1,false,true,52,Florida State,ACC,1648,259,Virginia Tech,ACC,1731
401019477,2018,2,false,false,2567,SMU,American Athletic,1326,2628,TCU,Big 12,1711
401013352,2018,2,false,false,2509,Purdue,Big Ten,1557,2199,Eastern Michigan,Mid-American,1432
401012889,2018,2,false,false,130,Michigan,Big Ten,1693,2711,Western Michigan,Mid-American,1502
