id,season,week,neutral_site,conference_game,home_id,home_team,home_conference,home_pregame_elo,away_id,away_team,away_conference,away_pregame_elo
400935282,2017,1,false,false,36,Colorado State,Mountain West,1546,204,Oregon State,Pac-12,1413
400945031,2017,1,false,false,252,BYU,FBS Independents,,2502,Portland State,Big Sky,
400938887,2017,1,false,false,113,UMass,FBS Independents,1230,62,Hawai'i,Mountain West,1274
400941786,2017,1,false,false,23,San José State,Mountain West,1267,58,South Florida,American Athletic,1627
400935257,2017,1,true,false,242,Rice,Conference USA,1239,24,Stanford,Pac-12,1667
400938591,2017,1,false,false,2116,UCF,American Athletic,1446,2229,Florida International,Conference USA,1272
400937445,2017,1,false,false,154,Wake Forest,ACC,,2506,Presbyterian College,Big South,
400944826,2017,1,false,false,2247,Georgia State,Sun Belt,,2634,Tennessee State,OVC,
400935230,2017,1,false,false,135,Minnesota,Big Ten,1601,2084,Buffalo,Mid-American,1220
400944890,2017,1,false,false,2117,Central Michigan,Mid-American,,227,Rhode Island,CAA,
400944889,2017,1,false,false,2649,Toledo,Mid-American,,2210,Elon,CAA,
400941787,2017,1,false,false,2132,Cincinnati,American Athletic,,2046,Austin Peay,OVC,
400941788,2017,1,false,false,41,Connecticut,American Athletic,,107,Holy Cross,Patriot,
400934493,2017,1,false,false,197,Oklahoma State,Big 12,1727,202,Tulsa,American Athletic,1665
400935248,2017,1,false,false,254,Utah,Pac-12,,155,North Dakota,Big Sky,
400933828,2017,1,true,false,8,Arkansas,SEC,,50,Florida A&M,MEAC,
400935229,2017,1,false,true,84,Indiana,Big Ten,1511,194,Ohio State,Big Ten,1966
400944827,2017,1,false,false,70,Idaho,Sun Belt,,16,Sacramento State,Big Sky,
400941789,2017,1,false,false,235,Memphis,American Athletic,1638,2433,Louisiana Monroe,Sun Belt,1142
400935247,2017,1,false,false,9,Arizona State,Pac-12,1411,166,New Mexico State,Sun Belt,1193
400934570,2017,1,false,false,349,Army,FBS Independents,,2230,Fordham,Patriot,
400944891,2017,1,false,false,2199,Eastern Michigan,Mid-American,1305,2429,Charlotte,Conference USA,1193
400937451,2017,1,false,false,183,Syracuse,ACC,,2115,Central Connecticut,NEC,
400935249,2017,1,true,false,38,Colorado,Pac-12,1599,36,Colorado State,Mountain West,1613
400938592,2017,1,false,false,2226,Florida Atlantic,Conference USA,1214,2426,Navy,American Athletic,1632
400935250,2017,1,false,false,164,Rutgers,Big Ten,1169,264,Washington,Pac-12,1913
400935231,2017,1,false,false,275,Wisconsin,Big Ten,1779,328,Utah State,Mountain West,1386
400937446,2017,1,false,false,2459,Northern Illinois,Mid-American,1479,103,Boston College,ACC,1411
400934495,2017,1,false,false,251,Texas,Big 12,1540,120,Maryland,Big Ten,1369
400933836,2017,1,false,false,142,Missouri,SEC,,2623,Missouri State,MVFC,
400935234,2017,1,false,false,127,Michigan State,Big Ten,1572,189,Bowling Green,Mid-American,1348
400937447,2017,1,false,false,228,Clemson,ACC,1977,2309,Kent State,Mid-American,1265
400935237,2017,1,false,false,213,Penn State,Big Ten,1746,2006,Akron,Mid-American,1309
400935233,2017,1,false,false,2294,Iowa,Big Ten,1607,2751,Wyoming,Mountain West,1429
400935232,2017,1,false,false,356,Illinois,Big Ten,1317,2050,Ball State,Mid-American,1320
400935256,2017,1,false,false,153,North Carolina,ACC,1666,25,California,Pac-12,1521
400937449,2017,1,false,false,2390,Miami,ACC,,2065,Bethune-Cookman,MEAC,
400937450,2017,1,false,false,221,Pittsburgh,ACC,,2754,Youngstown State,MVFC,
400945246,2017,1,false,false,2005,Air Force,Mountain West,,2678,VMI,Southern,
400935254,2017,1,false,false,204,Oregon State,Pac-12,,2502,Portland State,Big Sky,
400933837,2017,1,true,false,2579,South Carolina,SEC,1452,152,NC State,ACC,1583
400938597,2017,1,false,false,5,UAB,Conference USA,,2010,Alabama A&M,SWAC,
400933830,2017,1,true,false,57,Florida,SEC,1665,130,Michigan,Big Ten,1922
400934573,2017,1,false,false,87,Notre Dame,FBS Independents,1650,218,Temple,American Athletic,1659
400935236,2017,1,false,false,77,Northwestern,Big Ten,1577,2440,Nevada,Mountain West,1406
400937452,2017,1,false,false,258,Virginia,ACC,,2729,William & Mary,CAA,
400934492,2017,1,false,false,201,Oklahoma,Big 12,1865,2638,UTEP,Conference USA,1228
400944830,2017,1,false,false,68,Boise State,Mountain West,1609,2653,Troy,Sun Belt,1474
400933832,2017,1,false,false,2572,Southern Mississippi,Conference USA,1434,96,Kentucky,SEC,1491
400934496,2017,1,false,false,2641,Texas Tech,Big 12,,331,Eastern Washington,Big Sky,
400933835,2017,1,false,false,344,Mississippi State,SEC,,2127,Charleston Southern,Big South,
400941791,2017,1,false,false,58,South Florida,American Athletic,,2619,Stony Brook,CAA,
400935252,2017,1,false,false,30,USC,Pac-12,1799,2711,Western Michigan,Mid-American,1728
400938596,2017,1,false,false,295,Old Dominion,Conference USA,,399,Albany,CAA,
400941790,2017,1,false,false,151,East Carolina,American Athletic,1340,256,James Madison,CAA,1419
400937448,2017,1,false,false,150,Duke,ACC,,2428,North Carolina Central,MEAC,
400933831,2017,1,false,false,61,Georgia,SEC,1605,2026,Appalachian State,Sun Belt,1587
400938594,2017,1,false,false,276,Marshall,Conference USA,1300,193,Miami (OH),Mid-American,1375
400938599,2017,1,false,false,98,Western Kentucky,Conference USA,,2198,Eastern Kentucky,OVC,
400941792,2017,1,false,false,2567,SMU,American Athletic,,2617,Stephen F. Austin,Southland,
400934489,2017,1,false,false,239,Baylor,Big 12,1571,2335,Liberty,Big South,1401
400944828,2017,1,false,false,309,Louisiana,Sun Belt,,2545,Southeastern Louisiana,Southland,
400934490,2017,1,false,false,2305,Kansas,Big 12,,2546,Southeast Missouri State,OVC,
400944892,2017,1,false,false,195,Ohio,Mid-American,,2261,Hampton,MEAC,
400944829,2017,1,false,false,326,Texas State,Sun Belt,,2277,Houston Christian,Southland,
400938888,2017,1,false,false,324,Coastal Carolina,Sun Belt,1453,113,UMass,FBS Independents,1228
400938595,2017,1,false,false,249,North Texas,Conference USA,,2320,Lamar,Southland,
400938593,2017,1,false,false,2348,Louisiana Tech,Conference USA,,2466,Northwestern State,Southland,
400934491,2017,1,false,false,2306,Kansas State,Big 12,,2110,Central Arkansas,Southland,
400935238,2017,1,true,false,2509,Purdue,Big Ten,1275,97,Louisville,ACC,1748
400945251,2017,1,false,false,23,San José State,Mountain West,,13,Cal Poly,Big Sky,
400933834,2017,1,false,false,145,Ole Miss,SEC,1567,6,South Alabama,Sun Belt,1330
400933829,2017,1,false,false,2,Auburn,SEC,1769,290,Georgia Southern,Sun Belt,1439
400934488,2017,1,false,false,66,Iowa State,Big 12,,2460,Northern Iowa,MVFC,
400935235,2017,1,false,false,158,Nebraska,Big Ten,1519,2032,Arkansas State,Sun Belt,1545
400945247,2017,1,false,false,167,New Mexico,Mountain West,,2000,Abilene Christian,Southland,
400941793,2017,1,false,false,2655,Tulane,American Athletic,,2755,Grambling,SWAC,
400933839,2017,1,false,false,2393,Middle Tennessee,Conference USA,1367,238,Vanderbilt,SEC,1507
400934494,2017,1,false,false,2628,TCU,Big 12,,2296,Jackson State,SWAC,
400933827,2017,1,true,false,333,Alabama,SEC,2054,52,Florida State,ACC,1737
400935253,2017,1,false,false,2483,Oregon,Pac-12,,253,Southern Utah,Big Sky,
400945250,2017,1,false,false,21,San Diego State,Mountain West,,302,UC Davis,Big Sky,
400945252,2017,1,false,false,2439,UNLV,Mountain West,,47,Howard,MEAC,
400933833,2017,1,true,false,99,LSU,SEC,1815,252,BYU,FBS Independents,1653
400945248,2017,1,false,false,278,Fresno State,Mountain West,,2916,Incarnate Word,Southland,
400935255,2017,1,false,false,265,Washington State,Pac-12,,147,Montana State,Big Sky,
400935251,2017,1,false,false,12,Arizona,Pac-12,,2464,Northern Arizona,Big Sky,
400945249,2017,1,false,false,62,Hawai'i,Mountain West,,2717,Western Carolina,Southern,
400933838,2017,1,false,false,26,UCLA,Pac-12,1521,245,Texas A&M,SEC,1651
