"Id","Season","Week","Neutral Site","Conference Game","Home Id","Home Team","Home Conference","Home Pregame Elo","Away Id","Away Team","Away Conference","Away Pregame Elo"
"401532415","2023","6","false","true","2084","Buffalo","Mid-American","1382","2117","Central Michigan","Mid-American","1536"
"401520307","2023","6","false","true","194","Ohio State","Big Ten","1932","120","Maryland","Big Ten","1496"
"401525858","2023","6","false","true","239","Baylor","Big 12","1690","2641","Texas Tech","Big 12","1536"
"401525860","2023","6","false","true","2305","Kansas","Big 12","1194","2116","UCF","Big 12","1569"
"401520302","2023","6","false","true","2294","Iowa","Big Ten","1624","2509","Purdue","Big Ten","1635"
"401524028","2023","6","false","true","26","UCLA","Pac-12","1667","265","Washington State","Pac-12","1590"
"401525859","2023","6","false","true","66","Iowa State","Big 12","1779","2628","TCU","Big 12","1436"
"401520299","2023","6","false","true","57","Florida","SEC","1572","238","Vanderbilt","SEC","1222"
"401524027","2023","6","false","true","25","California","Pac-12","1510","204","Oregon State","Pac-12","1544"
"401524026","2023","6","false","true","9","Arizona State","Pac-12","1614","38","Colorado","Pac-12","1387"
"401520310","2023","6","false","true","245","Texas A&M","SEC","1708","333","Alabama","SEC","1979"
"401520304","2023","6","false","false","344","Mississippi State","SEC","1520","2711","Western Michigan","Mid-American","1538"
"401526837","2023","6","false","false","113","UMass","FBS Independents","1036","2649","Toledo","Mid-American","1534"
"401525520","2023","6","false","true","153","North Carolina","ACC","1555","183","Syracuse","ACC","1405"
"401524025","2023","6","false","true","30","USC","Pac-12","1487","12","Arizona","Pac-12","1306"
"401531389","2023","6","false","true","218","Temple","American Athletic","1101","2636","UT San Antonio","American Athletic","1512"
"401531380","2023","6","false","true","5","UAB","American Athletic","1546","58","South Florida","American Athletic","1284"
"401532591","2023","6","false","true","2751","Wyoming","Mountain West","1497","278","Fresno State","Mountain West","1590"
"401520308","2023","6","false","true","145","Ole Miss","SEC","1658","8","Arkansas","SEC","1626"
"401520305","2023","6","false","true","142","Missouri","SEC","1404","99","LSU","SEC","1538"
"401531340","2023","6","false","true","2226","Florida Atlantic","American Athletic","1427","202","Tulsa","American Athletic","1502"
"401520298","2023","6","false","false","349","Army","FBS Independents","1544","103","Boston College","ACC","1443"
"401520306","2023","6","false","false","77","Northwestern","Big Ten","","47","Howard","MEAC",""
"401531433","2023","6","false","true","2426","Navy","American Athletic","1403","249","North Texas","American Athletic","1426"
"401532414","2023","6","false","true","2199","Eastern Michigan","Mid-American","1380","2050","Ball State","Mid-American","1410"
"401532418","2023","6","false","true","2006","Akron","Mid-American","1096","2459","Northern Illinois","Mid-American","1376"
"401532416","2023","6","false","true","193","Miami (OH)","Mid-American","1516","189","Bowling Green","Mid-American","1210"
"401532417","2023","6","false","true","195","Ohio","Mid-American","1368","2309","Kent State","Mid-American","1340"
"401531887","2023","6","false","true","2653","Troy","Sun Belt","1347","2032","Arkansas State","Sun Belt","1262"
"401532592","2023","6","false","true","68","Boise State","Mountain West","1664","23","San José State","Mountain West","1338"
"401532590","2023","6","false","true","328","Utah State","Mountain West","1566","36","Colorado State","Mountain West","1399"
"401520313","2023","7","false","true","2393","Middle Tennessee","Conference USA","1445","2348","Louisiana Tech","Conference USA","1301"
"401531888","2023","7","false","true","2026","Appalachian State","Sun Belt","1656","324","Coastal Carolina","Sun Belt","1647"
"401520312","2023","7","false","true","55","Jacksonville State","Conference USA","","2335","Liberty","Conference USA",""
"401520314","2023","7","false","true","2229","Florida International","Conference USA","1080","2638","UTEP","Conference USA","1360"
"401520315","2023","7","false","true","166","New Mexico State","Conference USA","","2534","Sam Houston State","Conference USA",""
"401525862","2023","7","false","true","248","Houston","Big 12","1620","277","West Virginia","Big 12","1490"
