id,season,week,neutral_site,conference_game,home_id,home_team,home_conference,home_pregame_elo,away_id,away_team,away_conference,away_pregame_elo
401426532,2022,1,false,false,98,Western Kentucky,Conference USA,1684,2046,Austin Peay,Atlantic Sun,
401405059,2022,1,true,true,77,Northwestern,Big Ten,1361,158,Nebraska,Big Ten,1636
401413256,2022,1,false,false,2439,UNLV,Mountain West,1300,304,Idaho State,Big Sky,
401405058,2022,1,false,false,356,Illinois,Big Ten,1496,2751,Wyoming,Mountain West,1497
401404146,2022,1,false,false,328,Utah State,Mountain West,1566,41,Connecticut,FBS Independents,1117
401411090,2022,1,false,false,52,Florida State,ACC,1501,2184,Duquesne,NEC,
401426530,2022,1,false,true,2226,Florida Atlantic,Conference USA,1427,2429,Charlotte,Conference USA,1272
401411091,2022,1,false,false,153,North Carolina,ACC,1555,50,Florida A&M,SWAC,
401426531,2022,1,false,true,2638,UTEP,Conference USA,1360,249,North Texas,Conference USA,1426
401409235,2022,1,false,false,166,New Mexico State,FBS Independents,1184,2440,Nevada,Mountain West,1564
401403853,2022,1,false,false,62,Hawai'i,Mountain West,1432,238,Vanderbilt,SEC,1222
401416568,2022,1,false,false,2006,Akron,Mid-American,1096,2598,St Francis (PA),NEC,
401441990,2022,1,false,false,2649,Toledo,Mid-American,1534,112358,Long Island University,NEC,
401426533,2022,1,false,false,2229,Florida International,Conference USA,1080,2803,Bryant,Big South,
401415610,2022,1,false,false,2116,UCF,American Athletic,1569,2569,South Carolina State,MEAC,
401411092,2022,1,false,false,221,Pittsburgh,ACC,1667,277,West Virginia,Big 12,1490
401403864,2022,1,false,false,2633,Tennessee,SEC,1640,2050,Ball State,Mid-American,1410
401416569,2022,1,false,false,197,Oklahoma State,Big 12,1775,2117,Central Michigan,Mid-American,1536
401411093,2022,1,false,false,154,Wake Forest,ACC,1640,2678,VMI,Southern,
401426534,2022,1,false,false,5,UAB,Conference USA,1546,2010,Alabama A&M,SWAC,
401416592,2022,1,false,false,2459,Northern Illinois,Mid-American,1376,2197,Eastern Illinois,OVC,
401405064,2022,1,false,true,2509,Purdue,Big Ten,1635,213,Penn State,Big Ten,1670
401426537,2022,1,false,false,142,Missouri,SEC,1404,2348,Louisiana Tech,Conference USA,1301
401405060,2022,1,false,false,135,Minnesota,Big Ten,1639,166,New Mexico State,FBS Independents,1192
401403965,2022,1,false,false,9,Arizona State,Pac-12,1614,2464,Northern Arizona,Big Sky,
401415213,2022,1,false,false,23,San José State,Mountain West,1338,2502,Portland State,Big Sky,
401413224,2022,1,false,false,278,Fresno State,Mountain West,1590,13,Cal Poly,Big Sky,
401416591,2022,1,false,false,127,Michigan State,Big Ten,1563,2711,Western Michigan,Mid-American,1538
401426330,2022,1,false,false,295,Old Dominion,Sun Belt,1390,259,Virginia Tech,ACC,1412
401416590,2022,1,false,false,2199,Eastern Michigan,Mid-American,1380,2198,Eastern Kentucky,Atlantic Sun,
401426535,2022,1,false,false,2429,Charlotte,Conference USA,1206,2729,William & Mary,CAA,
401411094,2022,1,false,false,150,Duke,ACC,1168,218,Temple,American Athletic,1101
401405061,2022,1,false,true,84,Indiana,Big Ten,1330,356,Illinois,Big Ten,1584
401404052,2022,1,false,false,2305,Kansas,Big 12,1194,2635,Tennessee Tech,OVC,
401403966,2022,1,false,false,38,Colorado,Pac-12,1387,2628,TCU,Big 12,1436
401411096,2022,1,false,false,151,East Carolina,American Athletic,1518,152,NC State,ACC,1632
401404147,2022,1,false,false,41,Connecticut,FBS Independents,1117,2115,Central Connecticut,NEC,
401405069,2022,1,false,false,103,Boston College,ACC,1443,164,Rutgers,Big Ten,1365
401403865,2022,1,false,false,245,Texas A&M,SEC,1708,2534,Sam Houston State,Western Athletic,
401405067,2022,1,false,false,130,Michigan,Big Ten,1848,36,Colorado State,Mountain West,1399
