id,season,week,neutral_site,conference_game,home_id,home_team,home_conference,home_pregame_elo,away_id,away_team,away_conference,away_pregame_elo
401238035,2020,1,false,false,5,UAB,Conference USA,,2110,Central Arkansas,Southland,
401207101,2020,1,false,false,2572,Southern Mississippi,Conference USA,1451,6,South Alabama,Sun Belt,1227
401237353,2020,1,false,false,276,Marshall,Conference USA,,2198,Eastern Kentucky,OVC,
401235700,2020,1,false,false,349,Army,FBS Independents,1495,2393,Middle Tennessee,Conference USA,1429
401212484,2020,1,false,false,326,Texas State,Sun Belt,1193,2567,SMU,American Athletic,1557
401207098,2020,1,false,false,249,North Texas,Conference USA,,2277,Houston Christian,Southland,
401212553,2020,1,false,false,235,Memphis,American Athletic,1698,2032,Arkansas State,Sun Belt,1431
401239884,2020,1,false,false,2638,UTEP,Conference USA,,2617,Stephen F. Austin,Southland,
401234576,2020,1,false,false,2426,Navy,American Athletic,1625,252,BYU,FBS Independents,1513
401234559,2020,2,false,false,2390,Miami,ACC,1528,5,UAB,Conference USA,1399
401236081,2020,2,false,false,2026,Appalachian State,Sun Belt,1696,2429,Charlotte,Conference USA,1377
401236053,2020,2,false,false,2306,Kansas State,Big 12,1632,2032,Arkansas State,Sun Belt,1427
401234565,2020,2,false,true,153,North Carolina,ACC,1615,183,Syracuse,ACC,1481
401236038,2020,2,false,false,277,West Virginia,Big 12,,2198,Eastern Kentucky,OVC,
401236221,2020,2,false,false,66,Iowa State,Big 12,1663,309,Louisiana,Sun Belt,1651
401240113,2020,2,false,false,349,Army,FBS Independents,1610,2433,Louisiana Monroe,Sun Belt,1305
401234574,2020,2,false,true,87,Notre Dame,FBS Independents,1833,150,Duke,ACC,1411
401207113,2020,2,false,false,326,Texas State,Sun Belt,1206,2636,UT San Antonio,Conference USA,1222
401240233,2020,2,false,false,221,Pittsburgh,ACC,,2046,Austin Peay,OVC,
401234563,2020,2,false,true,52,Florida State,ACC,1496,59,Georgia Tech,ACC,1341
401215298,2020,2,false,false,290,Georgia Southern,Sun Belt,,2097,Campbell,Big South,
401236054,2020,2,false,false,201,Oklahoma,Big 12,,2623,Missouri State,MVFC,
401240039,2020,2,false,false,58,South Florida,American Athletic,,2643,The Citadel,Southern,
401234562,2020,2,false,true,154,Wake Forest,ACC,1510,228,Clemson,ACC,2062
401239973,2020,2,false,false,6,South Alabama,Sun Belt,1272,2655,Tulane,American Athletic,1531
401234564,2020,2,false,false,97,Louisville,ACC,1437,98,Western Kentucky,Conference USA,1515
401236039,2020,2,false,false,2641,Texas Tech,Big 12,,2277,Houston Christian,Southland,
401236222,2020,2,false,false,251,Texas,Big 12,1744,2638,UTEP,Conference USA,1145
401236658,2020,2,false,false,2305,Kansas,Big 12,1315,324,Coastal Carolina,Sun Belt,1316
401240126,2020,3,false,false,324,Coastal Carolina,Sun Belt,,2097,Campbell,Big South,
401236041,2020,3,false,false,197,Oklahoma State,Big 12,1596,202,Tulsa,American Athletic,1413
401234567,2020,3,false,true,150,Duke,ACC,1416,103,Boston College,ACC,1465
401234571,2020,3,false,true,221,Pittsburgh,ACC,1503,183,Syracuse,ACC,1433
401212522,2020,3,false,true,2655,Tulane,American Athletic,1521,2426,Navy,American Athletic,1438
401207124,2020,3,false,false,98,Western Kentucky,Conference USA,1480,2335,Liberty,FBS Independents,1390
401215301,2020,3,false,true,2247,Georgia State,Sun Belt,1305,309,Louisiana,Sun Belt,1693
401212541,2020,3,false,false,2132,Cincinnati,American Athletic,,2046,Austin Peay,OVC,
401241282,2020,3,false,false,87,Notre Dame,FBS Independents,1828,58,South Florida,American Athletic,1335
401234568,2020,3,false,false,59,Georgia Tech,ACC,1355,2116,UCF,American Athletic,1757
401240041,2020,3,false,false,2636,UT San Antonio,Conference USA,,2617,Stephen F. Austin,Southland,
401236939,2020,3,false,false,276,Marshall,Conference USA,1464,2026,Appalachian State,Sun Belt,1700
401240640,2020,3,false,false,2393,Middle Tennessee,Conference USA,1314,2653,Troy,Sun Belt,1388
401237492,2020,3,false,false,228,Clemson,ACC,,2643,The Citadel,Southern,
401207120,2020,3,false,false,249,North Texas,Conference USA,1384,2567,SMU,American Athletic,1544
401234569,2020,3,false,true,97,Louisville,ACC,1472,2390,Miami,ACC,1553
