id,season,week,neutral_site,conference_game,home_id,home_team,home_conference,home_pregame_elo,away_id,away_team,away_conference,away_pregame_elo
401110723,2019,1,true,false,57,Florida,SEC,1683,2390,Miami,ACC,1611
401114164,2019,1,false,false,62,Hawai'i,Mountain West,1281,12,Arizona,Pac-12,1467
401117854,2019,1,false,false,2132,Cincinnati,American Athletic,1625,26,UCLA,Pac-12,1431
401117855,2019,1,false,false,41,Connecticut,American Athletic,,2681,Wagner,NEC,
401119254,2019,1,false,false,189,Bowling Green,Mid-American,,2415,Morgan State,MEAC,
401119255,2019,1,false,false,2084,Buffalo,Mid-American,,2523,Robert Morris,NEC,
401114246,2019,1,false,false,98,Western Kentucky,Conference USA,,2110,Central Arkansas,Southland,
401135910,2019,1,false,false,2429,Charlotte,Conference USA,,2241,Gardner-Webb,Big South,
401117853,2019,1,false,false,2116,UCF,American Athletic,,50,Florida A&M,MEAC,
401111653,2019,1,false,true,228,Clemson,ACC,2092,59,Georgia Tech,ACC,1571
401114237,2019,1,false,false,5,UAB,Conference USA,,2011,Alabama State,SWAC,
401114236,2019,1,false,false,2655,Tulane,American Athletic,1451,2229,Florida International,Conference USA,1471
401110731,2019,1,false,false,245,Texas A&M,SEC,1739,326,Texas State,Sun Belt,1217
401119253,2019,1,false,false,2117,Central Michigan,Mid-American,,399,Albany,CAA,
401112229,2019,1,false,false,135,Minnesota,Big Ten,,2571,South Dakota State,MVFC,
401114153,2019,1,false,false,9,Arizona State,Pac-12,1597,2309,Kent State,Mid-American,1165
401117493,2019,1,false,false,23,San José State,Mountain West,,2458,Northern Colorado,Big Sky,
401114223,2019,1,false,false,252,BYU,FBS Independents,1553,254,Utah,Pac-12,1657
401114238,2019,1,false,false,349,Army,FBS Independents,1745,242,Rice,Conference USA,1185
401112212,2019,1,false,false,127,Michigan State,Big Ten,1615,202,Tulsa,American Athletic,1379
401112264,2019,1,false,false,164,Rutgers,Big Ten,1265,113,UMass,FBS Independents,1261
401117856,2019,1,false,false,58,South Florida,American Athletic,1423,275,Wisconsin,Big Ten,1676
401112430,2019,1,false,false,154,Wake Forest,ACC,1579,328,Utah State,Mountain West,1731
401112262,2019,1,false,false,2440,Nevada,Mountain West,1462,2509,Purdue,Big Ten,1507
401114184,2019,1,true,false,38,Colorado,Pac-12,1449,36,Colorado State,Mountain West,1307
401112122,2019,1,false,false,204,Oregon State,Pac-12,1207,197,Oklahoma State,Big 12,1637
401112085,2019,1,false,false,66,Iowa State,Big 12,,2460,Northern Iowa,MVFC,
401110726,2019,1,false,false,235,Memphis,American Athletic,1622,145,Ole Miss,SEC,1477
401112238,2019,1,false,false,158,Nebraska,Big Ten,1475,6,South Alabama,Sun Belt,1168
401112251,2019,1,false,false,194,Ohio State,Big Ten,1847,2226,Florida Atlantic,Conference USA,1520
401112145,2019,1,false,false,356,Illinois,Big Ten,1263,2006,Akron,Mid-American,1261
401112157,2019,1,true,false,2050,Ball State,Mid-American,1195,84,Indiana,Big Ten,1509
401112431,2019,1,false,false,52,Florida State,ACC,1442,68,Boise State,Mountain West,1703
401112432,2019,1,false,false,152,NC State,ACC,1612,151,East Carolina,American Athletic,1217
401112096,2019,1,false,false,2305,Kansas,Big 12,,282,Indiana State,MVFC,
401110724,2019,1,false,false,96,Kentucky,SEC,1615,2649,Toledo,Mid-American,1533
401110727,2019,1,true,false,309,Louisiana,Sun Belt,1361,344,Mississippi State,SEC,1791
401112201,2019,1,false,false,120,Maryland,Big Ten,,47,Howard,MEAC,
401112143,2019,1,false,false,277,West Virginia,Big 12,1692,256,James Madison,CAA,1477
401119259,2019,1,false,false,195,Ohio,Mid-American,,227,Rhode Island,CAA,
401117859,2019,1,false,false,218,Temple,American Athletic,,2083,Bucknell,Patriot,
401114233,2019,1,false,false,264,Washington,Pac-12,,331,Eastern Washington,Big Sky,
