season,seasonType,week,poll,rank,school,points
2019,regular,8,AP Top 25,1,Alabama,1503
2019,regular,8,AP Top 25,2,LSU,1449
2019,regular,8,AP Top 25,3,Clemson,1427
2019,regular,8,AP Top 25,4,Ohio State,1404
2019,regular,8,AP Top 25,5,Oklahoma,1333
2019,regular,8,AP Top 25,6,Wisconsin,1245
2019,regular,8,AP Top 25,7,Penn State,1129
2019,regular,8,AP Top 25,8,Notre Dame,1042
2019,regular,8,AP Top 25,9,Florida,1041
2019,regular,8,AP Top 25,10,Georgia,995
2019,regular,8,AP Top 25,11,Auburn,985
2019,regular,8,AP Top 25,12,Oregon,906
2019,regular,8,AP Top 25,13,Utah,729
2019,regular,8,AP Top 25,14,Boise State,716
2019,regular,8,AP Top 25,15,Texas,672
2019,regular,8,AP Top 25,16,Michigan,648
2019,regular,8,AP Top 25,17,Arizona State,524
2019,regular,8,AP Top 25,18,Baylor,470
2019,regular,8,AP Top 25,19,SMU,398
2019,regular,8,AP Top 25,20,Minnesota,330
2019,regular,8,AP Top 25,21,Cincinnati,308
2019,regular,8,AP Top 25,22,Missouri,233
2019,regular,8,AP Top 25,23,Iowa,210
2019,regular,8,AP Top 25,24,Appalachian State,148
2019,regular,8,AP Top 25,25,Washington,107
2019,regular,8,Coaches Poll,1,Alabama,1601
2019,regular,8,Coaches Poll,2,Clemson,1536
2019,regular,8,Coaches Poll,3,LSU,1455
2019,regular,8,Coaches Poll,4,Ohio State,1454
2019,regular,8,Coaches Poll,5,Oklahoma,1414
2019,regular,8,Coaches Poll,6,Wisconsin,1297
2019,regular,8,Coaches Poll,7,Penn State,1182
2019,regular,8,Coaches Poll,8,Notre Dame,1107
2019,regular,8,Coaches Poll,9,Florida,1057
2019,regular,8,Coaches Poll,10,Georgia,1049
2019,regular,8,Coaches Poll,11,Auburn,998
2019,regular,8,Coaches Poll,12,Oregon,955
2019,regular,8,Coaches Poll,13,Boise State,795
2019,regular,8,Coaches Poll,14,Utah,768
2019,regular,8,Coaches Poll,15,Texas,695
2019,regular,8,Coaches Poll,16,Michigan,674
2019,regular,8,Coaches Poll,17,Arizona State,504
2019,regular,8,Coaches Poll,18,Baylor,501
2019,regular,8,Coaches Poll,19,SMU,421
2019,regular,8,Coaches Poll,20,Minnesota,419
2019,regular,8,Coaches Poll,21,Cincinnati,298
2019,regular,8,Coaches Poll,22,Iowa,230
2019,regular,8,Coaches Poll,23,Washington,149
2019,regular,8,Coaches Poll,24,Appalachian State,140
2019,regular,8,Coaches Poll,25,Temple,88
2019,regular,8,FCS Coaches Poll,1,North Dakota State,650
2019,regular,8,FCS Coaches Poll,2,James Madison,622
2019,regular,8,FCS Coaches Poll,3,South Dakota State,600
2019,regular,8,FCS Coaches Poll,4,Kennesaw State,555
2019,regular,8,FCS Coaches Poll,5,Weber State,532
2019,regular,8,FCS Coaches Poll,6,Montana,516
2019,regular,8,FCS Coaches Poll,7,Villanova,480
2019,regular,8,FCS Coaches Poll,8,Furman,467
2019,regular,8,FCS Coaches Poll,9,Nicholls,448
2019,regular,8,FCS Coaches Poll,10,Illinois State,380
2019,regular,8,FCS Coaches Poll,11,North Carolina A&T,369
2019,regular,8,FCS Coaches Poll,12,Montana State,367
2019,regular,8,FCS Coaches Poll,13,Central Arkansas,336
2019,regular,8,FCS Coaches Poll,14,Jacksonville State,269
2019,regular,8,FCS Coaches Poll,15,Northern Iowa,264
2019,regular,8,FCS Coaches Poll,16,Princeton,224
2019,regular,8,FCS Coaches Poll,17,Sacramento State,221
2019,regular,8,FCS Coaches Poll,18,Youngstown State,197
2019,regular,8,FCS Coaches Poll,19,Austin Peay,170
2019,regular,8,FCS Coaches Poll,20,Towson,152
2019,regular,8,FCS Coaches Poll,21,Dartmouth,133
2019,regular,8,FCS Coaches Poll,22,UC Davis,108
2019,regular,8,FCS Coaches Poll,23,New Hampshire,96
2019,regular,8,FCS Coaches Poll,24,Delaware,63
2019,regular,8,FCS Coaches Poll,25,Incarnate Word,39
2019,regular,8,AFCA Division II Coaches Poll,1,Valdosta State,774
2019,regular,8,AFCA Division II Coaches Poll,2,Ferris State,737
2019,regular,8,AFCA Division II Coaches Poll,3,Minnesota State,708
2019,regular,8,AFCA Division II Coaches Poll,4,Tarleton State,663
2019,regular,8,AFCA Division II Coaches Poll,5,Ouachita Baptist,644
2019,regular,8,AFCA Division II Coaches Poll,6,Notre Dame College,608
2019,regular,8,AFCA Division II Coaches Poll,7,Lenoir-Rhyne,586
2019,regular,8,AFCA Division II Coaches Poll,8,Indianapolis,526
2019,regular,8,AFCA Division II Coaches Poll,9,Colorado Mines,519
2019,regular,8,AFCA Division II Coaches Poll,9,Slippery Rock,519
2019,regular,8,AFCA Division II Coaches Poll,11,Central Missouri State,421
2019,regular,8,AFCA Division II Coaches Poll,12,Wingate,417
2019,regular,8,AFCA Division II Coaches Poll,13,Colorado State-Pueblo,368
2019,regular,8,AFCA Division II Coaches Poll,14,Northwest Missouri State,343
2019,regular,8,AFCA Division II Coaches Poll,15,Bowie State,337
2019,regular,8,AFCA Division II Coaches Poll,16,Grand Valley State,311
2019,regular,8,AFCA Division II Coaches Poll,17,Kutztown,305
2019,regular,8,AFCA Division II Coaches Poll,18,Harding,247
