Game,Trophy,Team_1,Team_2,First Year,Latest Year,Meetings
Florida State–Virginia,Jefferson-Eppes Trophy,Florida State,Virginia,1992,2019,19
Frank Leahy Memorial Bowl,Ireland Trophy,Boston College,Notre Dame,1975,2022,27
Fresno State–Hawaii,Golden Screwdriver,Fresno State,Hawai'i,1938,2022,55
Fresno State–San Diego State,Oil Can,Fresno State,San Diego State,1923,2022,61
Fresno State–San Jose State,Valley Cup,Fresno State,San Jose State,1921,2022,85
Friends of Coal Bowl,,Marshall,West Virginia,1911,2012,12
Georgia–South Carolina,,Georgia,South Carolina,1894,2022,75
Georgia–Tennessee,,Georgia,Tennessee,1899,2022,52
Georgia–Vanderbilt,,Georgia,Vanderbilt,1893,2022,82
Georgia Tech–Tennessee,,Georgia Tech,Tennessee,1902,2017,44
Georgia Tech–Vanderbilt,Gold Cowbell,Georgia Tech,Vanderbilt,1892,2016,38
Governors' Trophy Game,The Governors' Perpetual Trophy,Oregon,Saint Mary's,1929,1950,10
Hawaii–Wyoming,Paniolo Trophy,Hawai'i,Wyoming,1978,2022,27
Holy War,,BYU,Utah,1896,2021,101
Houston–Rice,Bayou Bucket,Houston,Rice,1971,2022,44
Houston–Texas Tech,,Houston,Texas Tech,1951,2022,34
Houston–Tulsa,,Houston,Tulsa,1950,2022,46
Illinois–Michigan,,Illinois,Michigan,1898,2022,97
Illinois–Missouri,,Illinois,Missouri,1896,2010,24
Illinois–Northwestern,Land of Lincoln Trophy,Illinois,Northwestern,1892,2021,115
Illibuck Trophy,,Illinois,Ohio State,1902,2017,103
Illinois–Purdue,Purdue Cannon,Illinois,Purdue,1890,2022,98
Indiana–Kentucky,The Bourbon Barrel,Indiana,Kentucky,1893,2005,36
Indiana–Michigan State,Old Brass Spittoon,Indiana,Michigan State,1922,2022,69
Indiana–Purdue,Old Oaken Bucket,Indiana,Purdue,1891,2022,124
Iowa State–Missouri,Telephone Trophy,Iowa State,Missouri,1896,2011,104
Iowa–Iowa State,Cy-Hawk Trophy,Iowa,Iowa State,1894,2022,69
Iowa–Minnesota,Floyd of Rosedale,Iowa,Minnesota,1891,2022,116
Iowa–Nebraska,Heroes Trophy,Iowa,Nebraska,1891,2022,53
Iowa–Wisconsin,Heartland Trophy,Iowa,Wisconsin,1894,2022,96
Iron Bowl,"James E. Foy, V-ODK Sportsmanship Trophy",Alabama,Auburn,1893,2022,87
Kansas–Nebraska,,Kansas,Nebraska,1892,2010,117
Kansas State–Nebraska,,Kansas State,Nebraska,1911,2010,95
Kentucky–Louisville,Governor's Cup,Kentucky,Louisville,1912,2022,34
Kentucky–Tennessee,,Kentucky,Tennessee,1893,2022,118
Kentucky–Vanderbilt,,Kentucky,Vanderbilt,1896,2022,95
Keystone Classic,,Penn State,Pittsburgh,1893,2019,100
Louisiana–Louisiana Tech,,Louisiana,Louisiana Tech,1910,2015,87
Louisiana Tech–Louisiana–Monroe,,Louisiana Tech,Louisiana Monroe,1953,2000,43
Louisville–Memphis,,Louisville,Memphis,1948,2013,43
LSU–Mississippi State,,LSU,Mississippi State,1896,2022,116
LSU–Texas A&M,,LSU,Texas A&M,1899,2022,61
Magnolia Bowl,Magnolia Bowl Trophy,LSU,Ole Miss,1894,2022,111
Maryland–Penn State,,Maryland,Penn State,1917,2022,46
Maryland–Virginia,,Maryland,Virginia,1919,2013,78
Maryland–West Virginia,,Maryland,West Virginia,1919,2021,53
Miami–Nebraska,,Miami,Nebraska,1951,2015,12
Miami–Virginia Tech,,Miami,Virginia Tech,1953,2022,40
Michigan State–Notre Dame,Megaphone Trophy,Michigan State,Notre Dame,1897,2017,79
Michigan State–Penn State,Land Grant Trophy,Michigan State,Penn State,1914,2022,37
Michigan–Michigan State,Paul Bunyan Trophy,Michigan,Michigan State,1898,2022,115
Michigan–Minnesota,Little Brown Jug,Michigan,Minnesota,1892,2020,104
Michigan–Northwestern,George Jewitt Trophy,Michigan,Northwestern,1892,2021,76
Michigan–Notre Dame,,Michigan,Notre Dame,1887,2019,44
Michigan–Penn State,,Michigan,Penn State,1993,2022,26
Mid–South Rivalry,,Memphis,Ole Miss,1921,2019,64
Minnesota–Nebraska,$5 Bits of Broken Chair Trophy,Minnesota,Nebraska,1900,2022,63
Minnesota–Penn State,Governor's Victory Bell,Minnesota,Penn State,1993,2022,16
Minnesota–Wisconsin,Paul Bunyan's Axe,Minnesota,Wisconsin,1890,2022,132
Missouri–Nebraska,Victory Bell,Missouri,Nebraska,1892,2010,104
Missouri–Oklahoma,Tiger–Sooner Peace Pipe,Missouri,Oklahoma,1902,2011,96
Missouri–South Carolina,Mayor's Cup,Missouri,South Carolina,1979,2022,13
Modern Day Hate,,Georgia Southern,Georgia State,2014,2022,9
Navy–SMU,Gansz Trophy,Navy,SMU,1930,2022,24
Navy–Notre Dame,Rip Miller Trophy,Navy,Notre Dame,1927,2022,95
NC State–Wake Forest,,NC State,Wake Forest,1895,2022,116
Nebraska–Oklahoma,,Nebraska,Oklahoma,1912,2022,88
