season,seasonType,week,poll,rank,school,points
2016,regular,1,AP Top 25,1,Alabama,1469
2016,regular,1,AP Top 25,2,Clemson,1443
2016,regular,1,AP Top 25,3,Oklahoma,1352
2016,regular,1,AP Top 25,4,Florida State,1325
2016,regular,1,AP Top 25,5,LSU,1269
2016,regular,1,AP Top 25,6,Ohio State,1224
2016,regular,1,AP Top 25,7,Michigan,1147
2016,regular,1,AP Top 25,8,Stanford,1029
2016,regular,1,AP Top 25,9,Tennessee,1021
2016,regular,1,AP Top 25,10,Notre Dame,1006
2016,regular,1,AP Top 25,11,Ole Miss,718
2016,regular,1,AP Top 25,12,Michigan State,710
2016,regular,1,AP Top 25,13,TCU,707
2016,regular,1,AP Top 25,14,Washington,651
2016,regular,1,AP Top 25,15,Houston,644
2016,regular,1,AP Top 25,16,UCLA,496
2016,regular,1,AP Top 25,17,Iowa,484
2016,regular,1,AP Top 25,18,Georgia,448
2016,regular,1,AP Top 25,19,Louisville,447
2016,regular,1,AP Top 25,20,USC,344
2016,regular,1,AP Top 25,21,Oklahoma State,316
2016,regular,1,AP Top 25,22,North Carolina,283
2016,regular,1,AP Top 25,23,Baylor,280
2016,regular,1,AP Top 25,24,Oregon,218
2016,regular,1,AP Top 25,25,Florida,180
2016,regular,1,Coaches Poll,1,Alabama,1585
2016,regular,1,Coaches Poll,2,Clemson,1524
2016,regular,1,Coaches Poll,3,Oklahoma,1398
2016,regular,1,Coaches Poll,4,Florida State,1351
2016,regular,1,Coaches Poll,5,Ohio State,1321
2016,regular,1,Coaches Poll,6,LSU,1241
2016,regular,1,Coaches Poll,7,Stanford,1149
2016,regular,1,Coaches Poll,8,Michigan,1062
2016,regular,1,Coaches Poll,9,Notre Dame,1034
2016,regular,1,Coaches Poll,10,Tennessee,960
2016,regular,1,Coaches Poll,11,Michigan State,901
2016,regular,1,Coaches Poll,12,Ole Miss,792
2016,regular,1,Coaches Poll,13,Houston,668
2016,regular,1,Coaches Poll,14,TCU,649
2016,regular,1,Coaches Poll,15,Iowa,579
2016,regular,1,Coaches Poll,16,Georgia,525
2016,regular,1,Coaches Poll,17,USC,468
2016,regular,1,Coaches Poll,18,Washington,454
2016,regular,1,Coaches Poll,19,Oklahoma State,426
2016,regular,1,Coaches Poll,20,North Carolina,422
2016,regular,1,Coaches Poll,21,Baylor,383
2016,regular,1,Coaches Poll,22,Oregon,361
2016,regular,1,Coaches Poll,23,Louisville,331
2016,regular,1,Coaches Poll,24,UCLA,296
2016,regular,1,Coaches Poll,25,Florida,245
2016,regular,1,FCS Coaches Poll,1,North Dakota State,625
2016,regular,1,FCS Coaches Poll,2,Sam Houston State,555
2016,regular,1,FCS Coaches Poll,3,Jacksonville State,547
2016,regular,1,FCS Coaches Poll,4,Richmond,539
2016,regular,1,FCS Coaches Poll,5,Northern Iowa,515
2016,regular,1,FCS Coaches Poll,6,Charleston Southern,455
2016,regular,1,FCS Coaches Poll,7,Chattanooga,433
2016,regular,1,FCS Coaches Poll,8,Illinois State,426
2016,regular,1,FCS Coaches Poll,9,McNeese,377
2016,regular,1,FCS Coaches Poll,10,William & Mary,363
2016,regular,1,FCS Coaches Poll,11,James Madison,349
2016,regular,1,FCS Coaches Poll,12,Portland State,305
2016,regular,1,FCS Coaches Poll,13,Montana,264
2016,regular,1,FCS Coaches Poll,14,South Dakota State,263
2016,regular,1,FCS Coaches Poll,15,The Citadel,261
2016,regular,1,FCS Coaches Poll,16,Colgate,195
2016,regular,1,FCS Coaches Poll,17,Eastern Washington,187
2016,regular,1,FCS Coaches Poll,18,Northern Arizona,129
2016,regular,1,FCS Coaches Poll,19,Harvard,127
2016,regular,1,FCS Coaches Poll,20,Fordham,111
2016,regular,1,FCS Coaches Poll,21,North Dakota,104
2016,regular,1,FCS Coaches Poll,22,Villanova,89
2016,regular,1,FCS Coaches Poll,23,Southern Utah,85
2016,regular,1,FCS Coaches Poll,24,Western Illinois,81
2016,regular,1,FCS Coaches Poll,25,North Carolina A&T,79
2016,regular,1,AFCA Division II Coaches Poll,1,Northwest Missouri State,749
2016,regular,1,AFCA Division II Coaches Poll,2,West Georgia,676
2016,regular,1,AFCA Division II Coaches Poll,3,Grand Valley State,658
2016,regular,1,AFCA Division II Coaches Poll,4,Shepherd,638
2016,regular,1,AFCA Division II Coaches Poll,5,Colorado State-Pueblo,581
2016,regular,1,AFCA Division II Coaches Poll,6,Ashland,523
2016,regular,1,AFCA Division II Coaches Poll,7,Minnesota State,466
2016,regular,1,AFCA Division II Coaches Poll,8,Indiana (PA),364
2016,regular,1,AFCA Division II Coaches Poll,9,Henderson State,363
2016,regular,1,AFCA Division II Coaches Poll,9,Texas A&M-Commerce,363
2016,regular,1,AFCA Division II Coaches Poll,11,Slippery Rock,360
2016,regular,1,AFCA Division II Coaches Poll,12,Ferris State,359
2016,regular,1,AFCA Division II Coaches Poll,13,Humboldt State,353
2016,regular,1,AFCA Division II Coaches Poll,14,Midwestern State,344
2016,regular,1,AFCA Division II Coaches Poll,15,North Alabama,330
2016,regular,1,AFCA Division II Coaches Poll,16,Indianapolis,276
2016,regular,1,AFCA Division II Coaches Poll,17,Tuskegee,241
2016,regular,1,AFCA Division II Coaches Poll,18,Colorado Mines,228
2016,regular,1,AFCA Division II Coaches Poll,19,Minnesota-Duluth,196
2016,regular,1,AFCA Division II Coaches Poll,20,Central Missouri State,184
2016,regular,1,AFCA Division II Coaches Poll,21,Assumption,144
2016,regular,1,AFCA Division II Coaches Poll,22,Catawba,140
2016,regular,1,AFCA Division II Coaches Poll,23,Sioux Falls,125
2016,regular,1,AFCA Division II Coaches Poll,24,Emporia State,124
2016,regular,1,AFCA Division II Coaches Poll,25,Augustana (SD),119
2016,regular,2,AP Top 25,1,Alabama,1518
2016,regular,2,AP Top 25,2,Clemson,1416
2016,regular,2,AP Top 25,3,Florida State,1413
2016,regular,2,AP Top 25,4,Ohio State,1324
2016,regular,2,AP Top 25,5,Michigan,1261
2016,regular,2,AP Top 25,6,Houston,1243
2016,regular,2,AP Top 25,7,Stanford,1140
2016,regular,2,AP Top 25,8,Washington,884
2016,regular,2,AP Top 25,9,Georgia,877
2016,regular,2,AP Top 25,10,Wisconsin,759
2016,regular,2,AP Top 25,11,Texas,743
2016,regular,2,AP Top 25,12,Michigan State,722
2016,regular,2,AP Top 25,13,Louisville,686
2016,regular,2,AP Top 25,14,Oklahoma,664
2016,regular,2,AP Top 25,15,TCU,635
2016,regular,2,AP Top 25,16,Iowa,588
2016,regular,2,AP Top 25,17,Tennessee,573
2016,regular,2,AP Top 25,18,Notre Dame,528
2016,regular,2,AP Top 25,19,Ole Miss,493
2016,regular,2,AP Top 25,20,Texas A&M,477
2016,regular,2,AP Top 25,21,LSU,423
2016,regular,2,AP Top 25,22,Oklahoma State,409
2016,regular,2,AP Top 25,23,Baylor,296
2016,regular,2,AP Top 25,24,Oregon,242
2016,regular,2,AP Top 25,25,Miami,137
2016,regular,2,Coaches Poll,1,Alabama,1598
2016,regular,2,Coaches Poll,2,Clemson,1513
2016,regular,2,Coaches Poll,3,Florida State,1454
2016,regular,2,Coaches Poll,4,Ohio State,1424
2016,regular,2,Coaches Poll,5,Stanford,1284
2016,regular,2,Coaches Poll,6,Michigan,1261
2016,regular,2,Coaches Poll,7,Houston,1213
2016,regular,2,Coaches Poll,8,Michigan State,1027
2016,regular,2,Coaches Poll,9,Georgia,934
2016,regular,2,Coaches Poll,10,Iowa,797
2016,regular,2,Coaches Poll,11,Washington,782
2016,regular,2,Coaches Poll,12,TCU,719
2016,regular,2,Coaches Poll,13,Oklahoma,707
2016,regular,2,Coaches Poll,14,Tennessee,657
2016,regular,2,Coaches Poll,15,Louisville,635
2016,regular,2,Coaches Poll,16,Wisconsin,583
2016,regular,2,Coaches Poll,17,Oklahoma State,555
2016,regular,2,Coaches Poll,18,Ole Miss,534
2016,regular,2,Coaches Poll,19,Baylor,481
2016,regular,2,Coaches Poll,20,Texas,439
2016,regular,2,Coaches Poll,21,Notre Dame,426
2016,regular,2,Coaches Poll,22,LSU,418
2016,regular,2,Coaches Poll,23,Oregon,385
2016,regular,2,Coaches Poll,24,Texas A&M,302
2016,regular,2,Coaches Poll,25,Florida,182
2016,regular,2,FCS Coaches Poll,1,North Dakota State,646
2016,regular,2,FCS Coaches Poll,2,Richmond,611
2016,regular,2,FCS Coaches Poll,3,Northern Iowa,577
2016,regular,2,FCS Coaches Poll,3,Sam Houston State,577
2016,regular,2,FCS Coaches Poll,5,Jacksonville State,537
2016,regular,2,FCS Coaches Poll,6,Chattanooga,483
2016,regular,2,FCS Coaches Poll,7,Charleston Southern,472
2016,regular,2,FCS Coaches Poll,8,Eastern Washington,414
2016,regular,2,FCS Coaches Poll,9,Illinois State,407
2016,regular,2,FCS Coaches Poll,10,McNeese,398
2016,regular,2,FCS Coaches Poll,11,James Madison,396
2016,regular,2,FCS Coaches Poll,12,South Dakota State,347
2016,regular,2,FCS Coaches Poll,13,William & Mary,344
2016,regular,2,FCS Coaches Poll,14,Portland State,319
2016,regular,2,FCS Coaches Poll,15,Montana,288
2016,regular,2,FCS Coaches Poll,16,The Citadel,256
2016,regular,2,FCS Coaches Poll,17,Northern Arizona,193
2016,regular,2,FCS Coaches Poll,18,Western Illinois,166
2016,regular,2,FCS Coaches Poll,19,Villanova,133
2016,regular,2,FCS Coaches Poll,20,Colgate,129
2016,regular,2,FCS Coaches Poll,21,Harvard,98
2016,regular,2,FCS Coaches Poll,22,Youngstown State,92
2016,regular,2,FCS Coaches Poll,23,Southern Utah,76
2016,regular,2,FCS Coaches Poll,24,North Carolina A&T,67
2016,regular,2,FCS Coaches Poll,25,Fordham,59
2016,regular,2,AFCA Division II Coaches Poll,1,Northwest Missouri State,750
2016,regular,2,AFCA Division II Coaches Poll,2,Grand Valley State,690
2016,regular,2,AFCA Division II Coaches Poll,3,West Georgia,689
2016,regular,2,AFCA Division II Coaches Poll,4,Shepherd,649
2016,regular,2,AFCA Division II Coaches Poll,5,Ashland,619
2016,regular,2,AFCA Division II Coaches Poll,6,Ferris State,594
2016,regular,2,AFCA Division II Coaches Poll,7,Texas A&M-Commerce,553
2016,regular,2,AFCA Division II Coaches Poll,8,Henderson State,523
2016,regular,2,AFCA Division II Coaches Poll,9,Indiana (PA),517
2016,regular,2,AFCA Division II Coaches Poll,10,Colorado Mines,462
2016,regular,2,AFCA Division II Coaches Poll,11,Slippery Rock,460
2016,regular,2,AFCA Division II Coaches Poll,12,Midwestern State,364
2016,regular,2,AFCA Division II Coaches Poll,13,Tuskegee,359
2016,regular,2,AFCA Division II Coaches Poll,14,Central Missouri State,354
2016,regular,2,AFCA Division II Coaches Poll,15,Sioux Falls,297
2016,regular,2,AFCA Division II Coaches Poll,16,Azusa Pacific,251
2016,regular,2,AFCA Division II Coaches Poll,17,Assumption,244
2016,regular,2,AFCA Division II Coaches Poll,18,Augustana (SD),216
2016,regular,2,AFCA Division II Coaches Poll,19,Florida Tech,212
2016,regular,2,AFCA Division II Coaches Poll,20,North Alabama,196
2016,regular,2,AFCA Division II Coaches Poll,21,Minnesota State,144
2016,regular,2,AFCA Division II Coaches Poll,22,Valdosta State,133
2016,regular,2,AFCA Division II Coaches Poll,23,Colorado Mesa,115
2016,regular,2,AFCA Division II Coaches Poll,24,Bemidji State,100
2016,regular,2,AFCA Division II Coaches Poll,25,Humboldt State,57
2016,regular,3,AP Top 25,1,Alabama,1520
2016,regular,3,AP Top 25,2,Florida State,1437
2016,regular,3,AP Top 25,3,Ohio State,1359
2016,regular,3,AP Top 25,4,Michigan,1298
2016,regular,3,AP Top 25,5,Clemson,1284
2016,regular,3,AP Top 25,6,Houston,1264
2016,regular,3,AP Top 25,7,Stanford,1137
2016,regular,3,AP Top 25,8,Washington,983
2016,regular,3,AP Top 25,9,Wisconsin,893
2016,regular,3,AP Top 25,10,Louisville,890
2016,regular,3,AP Top 25,11,Texas,872
2016,regular,3,AP Top 25,12,Michigan State,747
2016,regular,3,AP Top 25,13,Iowa,694
2016,regular,3,AP Top 25,14,Oklahoma,686
2016,regular,3,AP Top 25,15,Tennessee,665
2016,regular,3,AP Top 25,16,Georgia,584
2016,regular,3,AP Top 25,17,Texas A&M,564
2016,regular,3,AP Top 25,18,Notre Dame,526
2016,regular,3,AP Top 25,19,Ole Miss,473
2016,regular,3,AP Top 25,20,LSU,391
2016,regular,3,AP Top 25,21,Baylor,305
2016,regular,3,AP Top 25,22,Oregon,292
2016,regular,3,AP Top 25,23,Florida,205
2016,regular,3,AP Top 25,24,Arkansas,198
2016,regular,3,AP Top 25,25,Miami,197
2016,regular,3,Coaches Poll,1,Alabama,1598
2016,regular,3,Coaches Poll,2,Florida State,1490
2016,regular,3,Coaches Poll,3,Clemson,1447
2016,regular,3,Coaches Poll,4,Ohio State,1440
2016,regular,3,Coaches Poll,5,Michigan,1279
2016,regular,3,Coaches Poll,6,Stanford,1257
2016,regular,3,Coaches Poll,7,Houston,1243
2016,regular,3,Coaches Poll,8,Michigan State,1034
2016,regular,3,Coaches Poll,9,Washington,945
2016,regular,3,Coaches Poll,10,Louisville,894
2016,regular,3,Coaches Poll,11,Iowa,875
2016,regular,3,Coaches Poll,12,Wisconsin,793
2016,regular,3,Coaches Poll,13,Georgia,777
2016,regular,3,Coaches Poll,14,Oklahoma,723
2016,regular,3,Coaches Poll,15,Tennessee,718
2016,regular,3,Coaches Poll,16,Texas,648
2016,regular,3,Coaches Poll,17,Ole Miss,525
2016,regular,3,Coaches Poll,18,Notre Dame,453
2016,regular,3,Coaches Poll,19,Baylor,452
2016,regular,3,Coaches Poll,20,Texas A&M,425
2016,regular,3,Coaches Poll,21,Oregon,403
2016,regular,3,Coaches Poll,22,LSU,318
2016,regular,3,Coaches Poll,23,Florida,267
2016,regular,3,Coaches Poll,24,Arkansas,170
2016,regular,3,Coaches Poll,25,Miami,137
2016,regular,3,FCS Coaches Poll,1,North Dakota State,648
2016,regular,3,FCS Coaches Poll,2,Richmond,625
2016,regular,3,FCS Coaches Poll,3,Sam Houston State,581
2016,regular,3,FCS Coaches Poll,4,Chattanooga,526
2016,regular,3,FCS Coaches Poll,5,Illinois State,517
2016,regular,3,FCS Coaches Poll,6,Jacksonville State,457
2016,regular,3,FCS Coaches Poll,7,Eastern Washington,445
2016,regular,3,FCS Coaches Poll,8,James Madison,441
2016,regular,3,FCS Coaches Poll,9,Montana,409
2016,regular,3,FCS Coaches Poll,10,South Dakota State,398
2016,regular,3,FCS Coaches Poll,11,Northern Iowa,376
2016,regular,3,FCS Coaches Poll,12,Charleston Southern,371
2016,regular,3,FCS Coaches Poll,13,McNeese,340
2016,regular,3,FCS Coaches Poll,14,William & Mary,333
2016,regular,3,FCS Coaches Poll,15,The Citadel,298
2016,regular,3,FCS Coaches Poll,16,Western Illinois,280
2016,regular,3,FCS Coaches Poll,17,Portland State,181
2016,regular,3,FCS Coaches Poll,18,Villanova,179
2016,regular,3,FCS Coaches Poll,19,North Carolina A&T,161
2016,regular,3,FCS Coaches Poll,20,Youngstown State,107
2016,regular,3,FCS Coaches Poll,21,Southern Utah,103
2016,regular,3,FCS Coaches Poll,22,Harvard,102
2016,regular,3,FCS Coaches Poll,23,Colgate,96
2016,regular,3,FCS Coaches Poll,24,Northern Arizona,77
2016,regular,3,FCS Coaches Poll,25,Albany,74
2016,regular,3,AFCA Division II Coaches Poll,1,Northwest Missouri State,750
2016,regular,3,AFCA Division II Coaches Poll,2,Grand Valley State,713
2016,regular,3,AFCA Division II Coaches Poll,3,West Georgia,687
2016,regular,3,AFCA Division II Coaches Poll,4,Shepherd,655
2016,regular,3,AFCA Division II Coaches Poll,5,Ashland,627
2016,regular,3,AFCA Division II Coaches Poll,6,Texas A&M-Commerce,566
2016,regular,3,AFCA Division II Coaches Poll,7,Ferris State,550
2016,regular,3,AFCA Division II Coaches Poll,8,Henderson State,539
2016,regular,3,AFCA Division II Coaches Poll,9,Indiana (PA),493
2016,regular,3,AFCA Division II Coaches Poll,10,Slippery Rock,476
2016,regular,3,AFCA Division II Coaches Poll,11,Midwestern State,426
2016,regular,3,AFCA Division II Coaches Poll,12,Tuskegee,386
2016,regular,3,AFCA Division II Coaches Poll,13,Central Missouri State,376
2016,regular,3,AFCA Division II Coaches Poll,14,Sioux Falls,333
2016,regular,3,AFCA Division II Coaches Poll,15,Azusa Pacific,309
2016,regular,3,AFCA Division II Coaches Poll,16,Augustana (SD),268
2016,regular,3,AFCA Division II Coaches Poll,17,Assumption,256
2016,regular,3,AFCA Division II Coaches Poll,18,Colorado Mesa,255
2016,regular,3,AFCA Division II Coaches Poll,19,Florida Tech,233
2016,regular,3,AFCA Division II Coaches Poll,19,North Alabama,233
2016,regular,3,AFCA Division II Coaches Poll,21,Minnesota State,135
2016,regular,3,AFCA Division II Coaches Poll,22,Bemidji State,126
2016,regular,3,AFCA Division II Coaches Poll,23,Colorado Mines,125
2016,regular,3,AFCA Division II Coaches Poll,24,Humboldt State,71
2016,regular,3,AFCA Division II Coaches Poll,25,Harding,49
2016,regular,4,AP Top 25,1,Alabama,1510
2016,regular,4,AP Top 25,2,Ohio State,1442
2016,regular,4,AP Top 25,3,Louisville,1406
2016,regular,4,AP Top 25,4,Michigan,1277
2016,regular,4,AP Top 25,5,Clemson,1258
2016,regular,4,AP Top 25,6,Houston,1245
2016,regular,4,AP Top 25,7,Stanford,1195
2016,regular,4,AP Top 25,8,Michigan State,1084
2016,regular,4,AP Top 25,9,Washington,1040
2016,regular,4,AP Top 25,10,Texas A&M,890
2016,regular,4,AP Top 25,11,Wisconsin,828
2016,regular,4,AP Top 25,12,Georgia,726
2016,regular,4,AP Top 25,13,Florida State,722
2016,regular,4,AP Top 25,14,Tennessee,707
2016,regular,4,AP Top 25,15,Miami,565
2016,regular,4,AP Top 25,16,Baylor,529
2016,regular,4,AP Top 25,17,Arkansas,528
2016,regular,4,AP Top 25,18,LSU,517
2016,regular,4,AP Top 25,19,Florida,479
2016,regular,4,AP Top 25,20,Nebraska,420
2016,regular,4,AP Top 25,21,Texas,196
2016,regular,4,AP Top 25,22,San Diego State,183
2016,regular,4,AP Top 25,23,Ole Miss,172
2016,regular,4,AP Top 25,24,Utah,154
2016,regular,4,AP Top 25,25,Oklahoma,139
2016,regular,4,Coaches Poll,1,Alabama,1571
2016,regular,4,Coaches Poll,2,Ohio State,1482
2016,regular,4,Coaches Poll,3,Clemson,1405
2016,regular,4,Coaches Poll,4,Louisville,1331
2016,regular,4,Coaches Poll,5,Michigan,1302
2016,regular,4,Coaches Poll,6,Stanford,1273
2016,regular,4,Coaches Poll,7,Houston,1235
2016,regular,4,Coaches Poll,8,Michigan State,1156
