season,seasonType,week,poll,rank,school,points
2017,regular,2,FCS Coaches Poll,21,Northern Iowa,124
2017,regular,2,FCS Coaches Poll,23,Grambling,83
2017,regular,2,FCS Coaches Poll,24,Tennessee State,81
2017,regular,2,FCS Coaches Poll,25,Colgate,71
2017,regular,2,AFCA Division II Coaches Poll,1,Northwest Missouri State,850
2017,regular,2,AFCA Division II Coaches Poll,2,Ferris State,810
2017,regular,2,AFCA Division II Coaches Poll,3,Texas A&M-Commerce,782
2017,regular,2,AFCA Division II Coaches Poll,4,Shepherd,715
2017,regular,2,AFCA Division II Coaches Poll,5,California (PA),703
2017,regular,2,AFCA Division II Coaches Poll,6,Indiana (PA),674
2017,regular,2,AFCA Division II Coaches Poll,7,Sioux Falls,617
2017,regular,2,AFCA Division II Coaches Poll,8,Minnesota State,561
2017,regular,2,AFCA Division II Coaches Poll,9,LIU Post,560
2017,regular,2,AFCA Division II Coaches Poll,10,North Alabama,532
2017,regular,2,AFCA Division II Coaches Poll,11,Colorado Mesa,453
2017,regular,2,AFCA Division II Coaches Poll,12,Grand Valley State,417
2017,regular,2,AFCA Division II Coaches Poll,13,Midwestern State,402
2017,regular,2,AFCA Division II Coaches Poll,14,Emporia State,397
2017,regular,2,AFCA Division II Coaches Poll,15,Indianapolis,389
2017,regular,2,AFCA Division II Coaches Poll,16,Albany State (GA),369
2017,regular,2,AFCA Division II Coaches Poll,17,West Georgia,261
2017,regular,2,AFCA Division II Coaches Poll,18,Colorado State-Pueblo,244
2017,regular,2,AFCA Division II Coaches Poll,19,Arkansas Tech,180
2017,regular,2,AFCA Division II Coaches Poll,20,Minnesota-Duluth,171
2017,regular,2,AFCA Division II Coaches Poll,21,Fort Hays State,152
2017,regular,2,AFCA Division II Coaches Poll,22,Azusa Pacific,115
2017,regular,2,AFCA Division II Coaches Poll,23,Central Washington,103
2017,regular,2,AFCA Division II Coaches Poll,24,Delta State,92
2017,regular,2,AFCA Division II Coaches Poll,25,Slippery Rock,69
2017,regular,3,AP Top 25,1,Alabama,1522
2017,regular,3,AP Top 25,2,Oklahoma,1447
2017,regular,3,AP Top 25,3,Clemson,1380
2017,regular,3,AP Top 25,4,USC,1324
2017,regular,3,AP Top 25,5,Penn State,1299
2017,regular,3,AP Top 25,6,Washington,1124
2017,regular,3,AP Top 25,7,Michigan,1107
2017,regular,3,AP Top 25,8,Ohio State,1003
2017,regular,3,AP Top 25,9,Oklahoma State,1002
2017,regular,3,AP Top 25,10,Wisconsin,993
2017,regular,3,AP Top 25,11,Florida State,944
2017,regular,3,AP Top 25,12,LSU,935
2017,regular,3,AP Top 25,13,Georgia,882
2017,regular,3,AP Top 25,14,Louisville,658
2017,regular,3,AP Top 25,15,Auburn,591
2017,regular,3,AP Top 25,16,Virginia Tech,559
2017,regular,3,AP Top 25,17,Miami,542
2017,regular,3,AP Top 25,18,Kansas State,475
2017,regular,3,AP Top 25,19,Stanford,364
2017,regular,3,AP Top 25,20,TCU,352
2017,regular,3,AP Top 25,21,Washington State,233
2017,regular,3,AP Top 25,22,South Florida,188
2017,regular,3,AP Top 25,23,Tennessee,159
2017,regular,3,AP Top 25,24,Florida,146
2017,regular,3,AP Top 25,25,UCLA,119
2017,regular,3,Coaches Poll,1,Alabama,1497
2017,regular,3,Coaches Poll,2,Clemson,1386
2017,regular,3,Coaches Poll,3,Oklahoma,1385
2017,regular,3,Coaches Poll,4,USC,1308
2017,regular,3,Coaches Poll,5,Penn State,1256
2017,regular,3,Coaches Poll,6,Washington,1173
2017,regular,3,Coaches Poll,7,Michigan,1082
2017,regular,3,Coaches Poll,8,Oklahoma State,1026
2017,regular,3,Coaches Poll,9,Ohio State,962
2017,regular,3,Coaches Poll,10,Florida State,926
2017,regular,3,Coaches Poll,11,LSU,920
2017,regular,3,Coaches Poll,12,Wisconsin,919
2017,regular,3,Coaches Poll,13,Georgia,830
2017,regular,3,Coaches Poll,14,Louisville,658
2017,regular,3,Coaches Poll,15,Miami,551
2017,regular,3,Coaches Poll,16,Virginia Tech,509
2017,regular,3,Coaches Poll,17,Auburn,488
2017,regular,3,Coaches Poll,18,Kansas State,487
2017,regular,3,Coaches Poll,19,Stanford,372
2017,regular,3,Coaches Poll,20,TCU,271
2017,regular,3,Coaches Poll,21,South Florida,249
2017,regular,3,Coaches Poll,22,Washington State,244
2017,regular,3,Coaches Poll,23,Tennessee,219
2017,regular,3,Coaches Poll,24,Utah,182
2017,regular,3,Coaches Poll,25,Florida,134
2017,regular,3,FCS Coaches Poll,1,James Madison,648
2017,regular,3,FCS Coaches Poll,2,North Dakota State,626
2017,regular,3,FCS Coaches Poll,3,Sam Houston State,585
2017,regular,3,FCS Coaches Poll,4,South Dakota State,574
2017,regular,3,FCS Coaches Poll,5,Youngstown State,515
2017,regular,3,FCS Coaches Poll,6,Richmond,455
2017,regular,3,FCS Coaches Poll,6,Jacksonville State,455
2017,regular,3,FCS Coaches Poll,8,Villanova,438
2017,regular,3,FCS Coaches Poll,9,Wofford,415
2017,regular,3,FCS Coaches Poll,10,North Dakota,405
2017,regular,3,FCS Coaches Poll,11,New Hampshire,402
2017,regular,3,FCS Coaches Poll,12,Eastern Washington,364
2017,regular,3,FCS Coaches Poll,13,The Citadel,349
2017,regular,3,FCS Coaches Poll,14,Illinois State,273
2017,regular,3,FCS Coaches Poll,15,Chattanooga,260
2017,regular,3,FCS Coaches Poll,16,Central Arkansas,250
2017,regular,3,FCS Coaches Poll,17,Samford,213
2017,regular,3,FCS Coaches Poll,18,Northern Iowa,181
2017,regular,3,FCS Coaches Poll,19,Charleston Southern,175
2017,regular,3,FCS Coaches Poll,20,North Carolina A&T,134
2017,regular,3,FCS Coaches Poll,21,Weber State,123
2017,regular,3,FCS Coaches Poll,22,Western Illinois,112
2017,regular,3,FCS Coaches Poll,23,South Dakota,102
2017,regular,3,FCS Coaches Poll,24,Tennessee State,93
2017,regular,3,FCS Coaches Poll,25,Grambling,87
2017,regular,3,AFCA Division II Coaches Poll,1,Northwest Missouri State,850
2017,regular,3,AFCA Division II Coaches Poll,2,Ferris State,811
2017,regular,3,AFCA Division II Coaches Poll,3,Texas A&M-Commerce,779
2017,regular,3,AFCA Division II Coaches Poll,4,Shepherd,737
2017,regular,3,AFCA Division II Coaches Poll,5,California (PA),693
2017,regular,3,AFCA Division II Coaches Poll,6,Indiana (PA),673
2017,regular,3,AFCA Division II Coaches Poll,7,Sioux Falls,619
2017,regular,3,AFCA Division II Coaches Poll,8,Minnesota State,607
2017,regular,3,AFCA Division II Coaches Poll,9,LIU Post,572
2017,regular,3,AFCA Division II Coaches Poll,10,North Alabama,547
2017,regular,3,AFCA Division II Coaches Poll,11,Colorado Mesa,501
2017,regular,3,AFCA Division II Coaches Poll,12,Grand Valley State,456
2017,regular,3,AFCA Division II Coaches Poll,13,Midwestern State,443
2017,regular,3,AFCA Division II Coaches Poll,14,Indianapolis,402
2017,regular,3,AFCA Division II Coaches Poll,15,Emporia State,367
2017,regular,3,AFCA Division II Coaches Poll,16,Arkansas Tech,300
2017,regular,3,AFCA Division II Coaches Poll,17,Delta State,268
2017,regular,3,AFCA Division II Coaches Poll,18,Fort Hays State,259
2017,regular,3,AFCA Division II Coaches Poll,19,Colorado State-Pueblo,257
2017,regular,3,AFCA Division II Coaches Poll,20,Central Washington,247
2017,regular,3,AFCA Division II Coaches Poll,21,Slippery Rock,166
2017,regular,3,AFCA Division II Coaches Poll,22,Humboldt State,77
2017,regular,3,AFCA Division II Coaches Poll,23,Bowie State,72
2017,regular,3,AFCA Division II Coaches Poll,24,Assumption,60
2017,regular,3,AFCA Division II Coaches Poll,25,Catawba,54
2017,regular,4,AP Top 25,1,Alabama,1504
2017,regular,4,AP Top 25,2,Clemson,1446
2017,regular,4,AP Top 25,3,Oklahoma,1432
2017,regular,4,AP Top 25,4,Penn State,1306
2017,regular,4,AP Top 25,5,USC,1241
2017,regular,4,AP Top 25,6,Oklahoma State,1154
2017,regular,4,AP Top 25,7,Washington,1141
2017,regular,4,AP Top 25,8,Michigan,1081
2017,regular,4,AP Top 25,9,Wisconsin,1031
2017,regular,4,AP Top 25,10,Ohio State,1015
2017,regular,4,AP Top 25,11,Georgia,940
2017,regular,4,AP Top 25,12,Florida State,922
2017,regular,4,AP Top 25,13,Virginia Tech,730
2017,regular,4,AP Top 25,14,Miami,606
2017,regular,4,AP Top 25,15,Auburn,596
2017,regular,4,AP Top 25,16,TCU,553
2017,regular,4,AP Top 25,17,Mississippi State,532
2017,regular,4,AP Top 25,18,Washington State,419
2017,regular,4,AP Top 25,19,Louisville,356
2017,regular,4,AP Top 25,20,Florida,308
2017,regular,4,AP Top 25,21,South Florida,272
2017,regular,4,AP Top 25,22,San Diego State,201
2017,regular,4,AP Top 25,23,Utah,194
2017,regular,4,AP Top 25,24,Oregon,158
2017,regular,4,AP Top 25,25,LSU,153
2017,regular,4,Coaches Poll,1,Alabama,1618
2017,regular,4,Coaches Poll,2,Clemson,1535
2017,regular,4,Coaches Poll,3,Oklahoma,1505
2017,regular,4,Coaches Poll,4,Penn State,1364
2017,regular,4,Coaches Poll,5,USC,1348
2017,regular,4,Coaches Poll,6,Washington,1277
2017,regular,4,Coaches Poll,7,Oklahoma State,1219
2017,regular,4,Coaches Poll,8,Michigan,1171
2017,regular,4,Coaches Poll,9,Ohio State,1052
2017,regular,4,Coaches Poll,10,Wisconsin,1032
2017,regular,4,Coaches Poll,11,Florida State,985
2017,regular,4,Coaches Poll,12,Georgia,978
2017,regular,4,Coaches Poll,13,Virginia Tech,775
2017,regular,4,Coaches Poll,14,Miami,659
2017,regular,4,Coaches Poll,15,TCU,602
2017,regular,4,Coaches Poll,16,Auburn,555
2017,regular,4,Coaches Poll,17,South Florida,446
2017,regular,4,Coaches Poll,18,Washington State,441
2017,regular,4,Coaches Poll,19,Mississippi State,412
2017,regular,4,Coaches Poll,20,Louisville,382
2017,regular,4,Coaches Poll,21,Utah,324
2017,regular,4,Coaches Poll,22,Florida,312
2017,regular,4,Coaches Poll,23,LSU,243
2017,regular,4,Coaches Poll,24,Oregon,208
2017,regular,4,Coaches Poll,25,San Diego State,141
2017,regular,4,FCS Coaches Poll,1,James Madison,649
2017,regular,4,FCS Coaches Poll,2,North Dakota State,625
2017,regular,4,FCS Coaches Poll,3,Sam Houston State,591
2017,regular,4,FCS Coaches Poll,4,South Dakota State,575
2017,regular,4,FCS Coaches Poll,5,Youngstown State,530
2017,regular,4,FCS Coaches Poll,6,Richmond,506
2017,regular,4,FCS Coaches Poll,7,Jacksonville State,497
2017,regular,4,FCS Coaches Poll,8,Villanova,476
2017,regular,4,FCS Coaches Poll,9,Wofford,432
2017,regular,4,FCS Coaches Poll,10,The Citadel,372
2017,regular,4,FCS Coaches Poll,11,Eastern Washington,369
2017,regular,4,FCS Coaches Poll,12,Illinois State,334
2017,regular,4,FCS Coaches Poll,13,Central Arkansas,309
2017,regular,4,FCS Coaches Poll,14,South Dakota,288
2017,regular,4,FCS Coaches Poll,15,North Carolina A&T,256
2017,regular,4,FCS Coaches Poll,16,New Hampshire,213
2017,regular,4,FCS Coaches Poll,17,Samford,211
2017,regular,4,FCS Coaches Poll,18,Weber State,196
2017,regular,4,FCS Coaches Poll,19,North Dakota,168
2017,regular,4,FCS Coaches Poll,20,Tennessee State,166
2017,regular,4,FCS Coaches Poll,21,Western Illinois,162
2017,regular,4,FCS Coaches Poll,22,Grambling,104
2017,regular,4,FCS Coaches Poll,23,Nicholls,76
2017,regular,4,FCS Coaches Poll,24,Northern Iowa,56
2017,regular,4,FCS Coaches Poll,25,Holy Cross,49
2017,regular,4,AFCA Division II Coaches Poll,1,Northwest Missouri State,850
2017,regular,4,AFCA Division II Coaches Poll,2,Texas A&M-Commerce,808
2017,regular,4,AFCA Division II Coaches Poll,3,Shepherd,763
2017,regular,4,AFCA Division II Coaches Poll,4,Indiana (PA),717
2017,regular,4,AFCA Division II Coaches Poll,5,California (PA),691
2017,regular,4,AFCA Division II Coaches Poll,6,Minnesota State,665
2017,regular,4,AFCA Division II Coaches Poll,7,Sioux Falls,663
2017,regular,4,AFCA Division II Coaches Poll,8,Colorado Mesa,599
2017,regular,4,AFCA Division II Coaches Poll,9,Grand Valley State,515
2017,regular,4,AFCA Division II Coaches Poll,10,Indianapolis,487
2017,regular,4,AFCA Division II Coaches Poll,11,Arkansas Tech,454
2017,regular,4,AFCA Division II Coaches Poll,12,Midwestern State,451
2017,regular,4,AFCA Division II Coaches Poll,13,Delta State,428
2017,regular,4,AFCA Division II Coaches Poll,14,Fort Hays State,394
2017,regular,4,AFCA Division II Coaches Poll,15,Ferris State,329
2017,regular,4,AFCA Division II Coaches Poll,16,Central Washington,325
2017,regular,4,AFCA Division II Coaches Poll,17,Colorado State-Pueblo,294
2017,regular,4,AFCA Division II Coaches Poll,18,Slippery Rock,253
2017,regular,4,AFCA Division II Coaches Poll,19,Humboldt State,215
2017,regular,4,AFCA Division II Coaches Poll,20,Ashland,210
2017,regular,4,AFCA Division II Coaches Poll,21,Bowie State,209
2017,regular,4,AFCA Division II Coaches Poll,22,Assumption,176
2017,regular,4,AFCA Division II Coaches Poll,23,Catawba,170
2017,regular,4,AFCA Division II Coaches Poll,24,LIU Post,125
2017,regular,4,AFCA Division II Coaches Poll,25,Winona State,59
2017,regular,5,AP Top 25,1,Alabama,1515
2017,regular,5,AP Top 25,2,Clemson,1458
2017,regular,5,AP Top 25,3,Oklahoma,1397
2017,regular,5,AP Top 25,4,Penn State,1304
2017,regular,5,AP Top 25,5,USC,1247
2017,regular,5,AP Top 25,6,Washington,1188
2017,regular,5,AP Top 25,7,Georgia,1136
2017,regular,5,AP Top 25,8,Michigan,1088
2017,regular,5,AP Top 25,9,TCU,1028
2017,regular,5,AP Top 25,10,Wisconsin,1023
2017,regular,5,AP Top 25,11,Ohio State,1016
2017,regular,5,AP Top 25,12,Virginia Tech,828
2017,regular,5,AP Top 25,13,Auburn,701
2017,regular,5,AP Top 25,14,Miami,693
2017,regular,5,AP Top 25,15,Oklahoma State,665
2017,regular,5,AP Top 25,16,Washington State,551
2017,regular,5,AP Top 25,17,Louisville,502
2017,regular,5,AP Top 25,18,South Florida,406
2017,regular,5,AP Top 25,19,San Diego State,365
2017,regular,5,AP Top 25,20,Utah,356
2017,regular,5,AP Top 25,21,Florida,342
2017,regular,5,AP Top 25,22,Notre Dame,246
2017,regular,5,AP Top 25,23,West Virginia,212
2017,regular,5,AP Top 25,24,Mississippi State,148
2017,regular,5,AP Top 25,25,LSU,92
2017,regular,5,Coaches Poll,1,Alabama,1570
2017,regular,5,Coaches Poll,2,Clemson,1499
2017,regular,5,Coaches Poll,3,Oklahoma,1443
2017,regular,5,Coaches Poll,4,Penn State,1328
2017,regular,5,Coaches Poll,5,USC,1306
2017,regular,5,Coaches Poll,6,Washington,1277
2017,regular,5,Coaches Poll,7,Michigan,1152
2017,regular,5,Coaches Poll,8,Georgia,1089
2017,regular,5,Coaches Poll,9,Ohio State,1066
2017,regular,5,Coaches Poll,10,Wisconsin,1029
2017,regular,5,Coaches Poll,11,TCU,985
2017,regular,5,Coaches Poll,12,Virginia Tech,877
2017,regular,5,Coaches Poll,13,Miami,727
2017,regular,5,Coaches Poll,14,Oklahoma State,687
2017,regular,5,Coaches Poll,15,Auburn,664
2017,regular,5,Coaches Poll,16,Washington State,574
2017,regular,5,Coaches Poll,17,South Florida,522
2017,regular,5,Coaches Poll,18,Louisville,505
2017,regular,5,Coaches Poll,19,Utah,437
2017,regular,5,Coaches Poll,20,Florida,345
2017,regular,5,Coaches Poll,21,San Diego State,315
2017,regular,5,Coaches Poll,22,LSU,221
2017,regular,5,Coaches Poll,23,West Virginia,184
2017,regular,5,Coaches Poll,24,Mississippi State,132
2017,regular,5,Coaches Poll,25,Florida State,104
2017,regular,5,FCS Coaches Poll,1,James Madison,649
2017,regular,5,FCS Coaches Poll,2,North Dakota State,625
2017,regular,5,FCS Coaches Poll,3,Sam Houston State,594
2017,regular,5,FCS Coaches Poll,4,South Dakota State,551
2017,regular,5,FCS Coaches Poll,5,Jacksonville State,530
2017,regular,5,FCS Coaches Poll,5,Youngstown State,530
2017,regular,5,FCS Coaches Poll,7,Wofford,482
2017,regular,5,FCS Coaches Poll,8,Eastern Washington,396
2017,regular,5,FCS Coaches Poll,8,Illinois State,396
2017,regular,5,FCS Coaches Poll,10,South Dakota,383
2017,regular,5,FCS Coaches Poll,11,The Citadel,382
2017,regular,5,FCS Coaches Poll,12,Central Arkansas,340
2017,regular,5,FCS Coaches Poll,13,North Carolina A&T,319
2017,regular,5,FCS Coaches Poll,14,New Hampshire,310
2017,regular,5,FCS Coaches Poll,15,Richmond,292
2017,regular,5,FCS Coaches Poll,16,Western Illinois,276
2017,regular,5,FCS Coaches Poll,17,Villanova,262
2017,regular,5,FCS Coaches Poll,18,Weber State,261
2017,regular,5,FCS Coaches Poll,19,Grambling,174
2017,regular,5,FCS Coaches Poll,20,Northern Iowa,103
2017,regular,5,FCS Coaches Poll,21,UT Martin,95
2017,regular,5,FCS Coaches Poll,22,Albany,84
2017,regular,5,FCS Coaches Poll,23,Samford,82
2017,regular,5,FCS Coaches Poll,24,Tennessee State,59
2017,regular,5,FCS Coaches Poll,25,McNeese,46
2017,regular,5,AFCA Division II Coaches Poll,1,Northwest Missouri State,850
2017,regular,5,AFCA Division II Coaches Poll,2,Texas A&M-Commerce,783
2017,regular,5,AFCA Division II Coaches Poll,3,Shepherd,770
2017,regular,5,AFCA Division II Coaches Poll,4,Indiana (PA),740
2017,regular,5,AFCA Division II Coaches Poll,5,Minnesota State,711
2017,regular,5,AFCA Division II Coaches Poll,6,Sioux Falls,679
2017,regular,5,AFCA Division II Coaches Poll,7,Indianapolis,616
2017,regular,5,AFCA Division II Coaches Poll,8,Grand Valley State,569
2017,regular,5,AFCA Division II Coaches Poll,9,Delta State,541
2017,regular,5,AFCA Division II Coaches Poll,10,Midwestern State,540
2017,regular,5,AFCA Division II Coaches Poll,11,Fort Hays State,487
2017,regular,5,AFCA Division II Coaches Poll,12,Slippery Rock,421
2017,regular,5,AFCA Division II Coaches Poll,13,Central Washington,416
2017,regular,5,AFCA Division II Coaches Poll,14,Colorado State-Pueblo,391
2017,regular,5,AFCA Division II Coaches Poll,15,Ferris State,356
