season,seasonType,week,poll,rank,school,points
2017,regular,1,AP Top 25,1,Alabama,1513
2017,regular,1,AP Top 25,2,Ohio State,1414
2017,regular,1,AP Top 25,3,Florida State,1396
2017,regular,1,AP Top 25,4,USC,1325
2017,regular,1,AP Top 25,5,Clemson,1201
2017,regular,1,AP Top 25,6,Penn State,1196
2017,regular,1,AP Top 25,7,Oklahoma,1170
2017,regular,1,AP Top 25,8,Washington,1150
2017,regular,1,AP Top 25,9,Wisconsin,926
2017,regular,1,AP Top 25,10,Oklahoma State,889
2017,regular,1,AP Top 25,11,Michigan,881
2017,regular,1,AP Top 25,12,Auburn,880
2017,regular,1,AP Top 25,13,LSU,784
2017,regular,1,AP Top 25,14,Stanford,695
2017,regular,1,AP Top 25,15,Georgia,690
2017,regular,1,AP Top 25,16,Louisville,629
2017,regular,1,AP Top 25,17,Florida,624
2017,regular,1,AP Top 25,18,Miami,492
2017,regular,1,AP Top 25,19,South Florida,327
2017,regular,1,AP Top 25,20,Kansas State,317
2017,regular,1,AP Top 25,21,Virginia Tech,240
2017,regular,1,AP Top 25,22,West Virginia,207
2017,regular,1,AP Top 25,23,Texas,173
2017,regular,1,AP Top 25,24,Washington State,133
2017,regular,1,AP Top 25,25,Tennessee,114
2017,regular,1,Coaches Poll,1,Alabama,1603
2017,regular,1,Coaches Poll,2,Ohio State,1512
2017,regular,1,Coaches Poll,3,Florida State,1434
2017,regular,1,Coaches Poll,4,USC,1415
2017,regular,1,Coaches Poll,5,Clemson,1367
2017,regular,1,Coaches Poll,6,Penn State,1257
2017,regular,1,Coaches Poll,7,Washington,1245
2017,regular,1,Coaches Poll,8,Oklahoma,1237
2017,regular,1,Coaches Poll,9,Michigan,959
2017,regular,1,Coaches Poll,10,Wisconsin,936
2017,regular,1,Coaches Poll,11,Oklahoma State,912
2017,regular,1,Coaches Poll,12,LSU,834
2017,regular,1,Coaches Poll,13,Auburn,819
2017,regular,1,Coaches Poll,14,Stanford,732
2017,regular,1,Coaches Poll,15,Georgia,701
2017,regular,1,Coaches Poll,16,Florida,681
2017,regular,1,Coaches Poll,17,Louisville,676
2017,regular,1,Coaches Poll,18,Miami,472
2017,regular,1,Coaches Poll,19,Kansas State,339
2017,regular,1,Coaches Poll,20,West Virginia,319
2017,regular,1,Coaches Poll,21,South Florida,247
2017,regular,1,Coaches Poll,22,Virginia Tech,235
2017,regular,1,Coaches Poll,23,Texas,193
2017,regular,1,Coaches Poll,24,Tennessee,155
2017,regular,1,Coaches Poll,25,Utah,109
2017,regular,1,FCS Coaches Poll,1,James Madison,642
2017,regular,1,FCS Coaches Poll,2,North Dakota State,618
2017,regular,1,FCS Coaches Poll,3,Sam Houston State,577
2017,regular,1,FCS Coaches Poll,4,Eastern Washington,525
2017,regular,1,FCS Coaches Poll,5,Jacksonville State,493
2017,regular,1,FCS Coaches Poll,6,South Dakota State,479
2017,regular,1,FCS Coaches Poll,7,Richmond,474
2017,regular,1,FCS Coaches Poll,8,Youngstown State,450
2017,regular,1,FCS Coaches Poll,9,Villanova,413
2017,regular,1,FCS Coaches Poll,10,North Dakota,412
2017,regular,1,FCS Coaches Poll,11,Wofford,381
2017,regular,1,FCS Coaches Poll,12,The Citadel,333
2017,regular,1,FCS Coaches Poll,13,Chattanooga,330
2017,regular,1,FCS Coaches Poll,14,Charleston Southern,261
2017,regular,1,FCS Coaches Poll,15,Central Arkansas,251
2017,regular,1,FCS Coaches Poll,16,New Hampshire,244
2017,regular,1,FCS Coaches Poll,17,Lehigh,177
2017,regular,1,FCS Coaches Poll,18,Illinois State,149
2017,regular,1,FCS Coaches Poll,19,Samford,144
2017,regular,1,FCS Coaches Poll,20,Northern Iowa,136
2017,regular,1,FCS Coaches Poll,21,Grambling,133
2017,regular,1,FCS Coaches Poll,22,Weber State,102
2017,regular,1,FCS Coaches Poll,23,Cal Poly,85
2017,regular,1,FCS Coaches Poll,24,North Carolina Central,83
2017,regular,1,FCS Coaches Poll,25,North Carolina A&T,78
2017,regular,1,AFCA Division II Coaches Poll,1,Northwest Missouri State,850
2017,regular,1,AFCA Division II Coaches Poll,2,Grand Valley State,765
2017,regular,1,AFCA Division II Coaches Poll,3,Ferris State,716
2017,regular,1,AFCA Division II Coaches Poll,4,Emporia State,652
2017,regular,1,AFCA Division II Coaches Poll,5,Texas A&M-Commerce,634
2017,regular,1,AFCA Division II Coaches Poll,6,North Alabama,622
2017,regular,1,AFCA Division II Coaches Poll,7,Shepherd,574
2017,regular,1,AFCA Division II Coaches Poll,8,California (PA),568
2017,regular,1,AFCA Division II Coaches Poll,9,Indiana (PA),500
2017,regular,1,AFCA Division II Coaches Poll,10,Minnesota-Duluth,431
2017,regular,1,AFCA Division II Coaches Poll,11,Valdosta State,390
2017,regular,1,AFCA Division II Coaches Poll,12,Colorado State-Pueblo,349
2017,regular,1,AFCA Division II Coaches Poll,13,Azusa Pacific,302
2017,regular,1,AFCA Division II Coaches Poll,14,LIU Post,288
2017,regular,1,AFCA Division II Coaches Poll,15,Harding,281
2017,regular,1,AFCA Division II Coaches Poll,16,Colorado Mines,254
2017,regular,1,AFCA Division II Coaches Poll,17,Sioux Falls,235
2017,regular,1,AFCA Division II Coaches Poll,18,Southwest Baptist,227
2017,regular,1,AFCA Division II Coaches Poll,19,UNC Pembroke,220
2017,regular,1,AFCA Division II Coaches Poll,20,Minnesota State,201
2017,regular,1,AFCA Division II Coaches Poll,21,Central Missouri State,189
2017,regular,1,AFCA Division II Coaches Poll,22,Southern Arkansas,157
2017,regular,1,AFCA Division II Coaches Poll,23,Colorado Mesa,154
2017,regular,1,AFCA Division II Coaches Poll,24,Midwestern State,138
2017,regular,1,AFCA Division II Coaches Poll,25,Bemidji State,133
2017,regular,2,AP Top 25,1,Alabama,1524
2017,regular,2,AP Top 25,2,Ohio State,1445
2017,regular,2,AP Top 25,3,Clemson,1317
2017,regular,2,AP Top 25,4,Penn State,1303
2017,regular,2,AP Top 25,5,Oklahoma,1253
2017,regular,2,AP Top 25,6,USC,1224
2017,regular,2,AP Top 25,7,Washington,1083
2017,regular,2,AP Top 25,8,Michigan,1051
2017,regular,2,AP Top 25,9,Wisconsin,979
2017,regular,2,AP Top 25,10,Florida State,976
2017,regular,2,AP Top 25,11,Oklahoma State,950
2017,regular,2,AP Top 25,12,LSU,898
2017,regular,2,AP Top 25,13,Auburn,873
2017,regular,2,AP Top 25,14,Stanford,772
2017,regular,2,AP Top 25,15,Georgia,685
2017,regular,2,AP Top 25,16,Miami,537
2017,regular,2,AP Top 25,17,Louisville,529
2017,regular,2,AP Top 25,18,Virginia Tech,490
2017,regular,2,AP Top 25,19,Kansas State,398
2017,regular,2,AP Top 25,20,Washington State,216
2017,regular,2,AP Top 25,21,South Florida,207
2017,regular,2,AP Top 25,22,Florida,164
2017,regular,2,AP Top 25,23,TCU,154
2017,regular,2,AP Top 25,24,Notre Dame,141
2017,regular,2,AP Top 25,25,Tennessee,124
2017,regular,2,Coaches Poll,1,Alabama,1619
2017,regular,2,Coaches Poll,2,Ohio State,1526
2017,regular,2,Coaches Poll,3,Clemson,1466
2017,regular,2,Coaches Poll,4,Penn State,1343
2017,regular,2,Coaches Poll,5,USC,1338
2017,regular,2,Coaches Poll,6,Oklahoma,1274
2017,regular,2,Coaches Poll,7,Washington,1202
2017,regular,2,Coaches Poll,8,Michigan,1105
2017,regular,2,Coaches Poll,9,Florida State,1044
2017,regular,2,Coaches Poll,10,Oklahoma State,1020
2017,regular,2,Coaches Poll,11,Wisconsin,963
2017,regular,2,Coaches Poll,12,LSU,941
2017,regular,2,Coaches Poll,13,Auburn,863
2017,regular,2,Coaches Poll,14,Stanford,839
2017,regular,2,Coaches Poll,15,Georgia,767
2017,regular,2,Coaches Poll,16,Louisville,574
2017,regular,2,Coaches Poll,17,Miami,549
2017,regular,2,Coaches Poll,18,Virginia Tech,502
2017,regular,2,Coaches Poll,19,Kansas State,434
2017,regular,2,Coaches Poll,20,South Florida,257
2017,regular,2,Coaches Poll,21,Tennessee,197
2017,regular,2,Coaches Poll,22,Washington State,192
2017,regular,2,Coaches Poll,23,Utah,185
2017,regular,2,Coaches Poll,24,Florida,179
2017,regular,2,Coaches Poll,25,Notre Dame,116
2017,regular,2,FCS Coaches Poll,1,James Madison,649
2017,regular,2,FCS Coaches Poll,2,North Dakota State,622
2017,regular,2,FCS Coaches Poll,3,Sam Houston State,596
2017,regular,2,FCS Coaches Poll,4,South Dakota State,525
2017,regular,2,FCS Coaches Poll,5,Jacksonville State,514
2017,regular,2,FCS Coaches Poll,6,Eastern Washington,466
2017,regular,2,FCS Coaches Poll,6,Youngstown State,466
2017,regular,2,FCS Coaches Poll,8,Villanova,447
2017,regular,2,FCS Coaches Poll,9,Richmond,404
2017,regular,2,FCS Coaches Poll,10,Wofford,363
2017,regular,2,FCS Coaches Poll,11,North Dakota,355
2017,regular,2,FCS Coaches Poll,12,New Hampshire,313
2017,regular,2,FCS Coaches Poll,13,The Citadel,297
2017,regular,2,FCS Coaches Poll,14,Chattanooga,286
2017,regular,2,FCS Coaches Poll,15,Illinois State,279
2017,regular,2,FCS Coaches Poll,16,Central Arkansas,239
2017,regular,2,FCS Coaches Poll,17,Samford,219
2017,regular,2,FCS Coaches Poll,18,Charleston Southern,203
2017,regular,2,FCS Coaches Poll,19,Lehigh,182
2017,regular,2,FCS Coaches Poll,20,Weber State,150
2017,regular,2,FCS Coaches Poll,21,North Carolina A&T,124
