season,seasonType,week,poll,rank,school,points
2018,regular,1,AP Top 25,1,Alabama,1505
2018,regular,1,AP Top 25,2,Clemson,1476
2018,regular,1,AP Top 25,3,Georgia,1350
2018,regular,1,AP Top 25,4,Wisconsin,1271
2018,regular,1,AP Top 25,5,Ohio State,1256
2018,regular,1,AP Top 25,6,Washington,1215
2018,regular,1,AP Top 25,7,Oklahoma,1173
2018,regular,1,AP Top 25,8,Miami,1027
2018,regular,1,AP Top 25,9,Auburn,1013
2018,regular,1,AP Top 25,10,Penn State,1012
2018,regular,1,AP Top 25,11,Michigan State,877
2018,regular,1,AP Top 25,12,Notre Dame,804
2018,regular,1,AP Top 25,13,Stanford,778
2018,regular,1,AP Top 25,14,Michigan,773
2018,regular,1,AP Top 25,15,USC,543
2018,regular,1,AP Top 25,16,TCU,533
2018,regular,1,AP Top 25,17,West Virginia,511
2018,regular,1,AP Top 25,18,Mississippi State,450
2018,regular,1,AP Top 25,19,Florida State,384
2018,regular,1,AP Top 25,20,Virginia Tech,351
2018,regular,1,AP Top 25,21,UCF,312
2018,regular,1,AP Top 25,22,Boise State,292
2018,regular,1,AP Top 25,23,Texas,216
2018,regular,1,AP Top 25,24,Oregon,148
2018,regular,1,AP Top 25,25,LSU,106
2018,regular,1,Coaches Poll,1,Alabama,1621
2018,regular,1,Coaches Poll,2,Clemson,1547
2018,regular,1,Coaches Poll,3,Ohio State,1458
2018,regular,1,Coaches Poll,4,Georgia,1452
2018,regular,1,Coaches Poll,5,Oklahoma,1288
2018,regular,1,Coaches Poll,6,Washington,1245
2018,regular,1,Coaches Poll,7,Wisconsin,1243
2018,regular,1,Coaches Poll,8,Miami,1091
2018,regular,1,Coaches Poll,9,Penn State,1050
2018,regular,1,Coaches Poll,10,Auburn,1004
2018,regular,1,Coaches Poll,11,Notre Dame,892
2018,regular,1,Coaches Poll,12,Michigan State,870
2018,regular,1,Coaches Poll,13,Stanford,768
2018,regular,1,Coaches Poll,14,Michigan,752
2018,regular,1,Coaches Poll,15,USC,691
2018,regular,1,Coaches Poll,16,TCU,530
2018,regular,1,Coaches Poll,17,Virginia Tech,524
2018,regular,1,Coaches Poll,18,Mississippi State,407
2018,regular,1,Coaches Poll,19,Florida State,328
2018,regular,1,Coaches Poll,20,West Virginia,310
2018,regular,1,Coaches Poll,21,Texas,265
2018,regular,1,Coaches Poll,22,Boise State,261
2018,regular,1,Coaches Poll,23,UCF,259
2018,regular,1,Coaches Poll,24,LSU,254
2018,regular,1,Coaches Poll,25,Oklahoma State,168
2018,regular,1,FCS Coaches Poll,1,North Dakota State,647
2018,regular,1,FCS Coaches Poll,2,James Madison,623
2018,regular,1,FCS Coaches Poll,3,South Dakota State,579
2018,regular,1,FCS Coaches Poll,4,Sam Houston State,557
2018,regular,1,FCS Coaches Poll,5,Kennesaw State,543
2018,regular,1,FCS Coaches Poll,6,Jacksonville State,530
2018,regular,1,FCS Coaches Poll,7,Eastern Washington,454
2018,regular,1,FCS Coaches Poll,8,Weber State,446
2018,regular,1,FCS Coaches Poll,9,New Hampshire,430
2018,regular,1,FCS Coaches Poll,10,Samford,393
2018,regular,1,FCS Coaches Poll,11,Wofford,340
2018,regular,1,FCS Coaches Poll,12,Northern Iowa,338
2018,regular,1,FCS Coaches Poll,13,Elon,319
2018,regular,1,FCS Coaches Poll,14,North Carolina A&T,292
2018,regular,1,FCS Coaches Poll,15,Central Arkansas,269
2018,regular,1,FCS Coaches Poll,16,Delaware,257
2018,regular,1,FCS Coaches Poll,17,Nicholls,241
2018,regular,1,FCS Coaches Poll,18,McNeese,187
2018,regular,1,FCS Coaches Poll,19,Villanova,165
2018,regular,1,FCS Coaches Poll,20,Illinois State,144
2018,regular,1,FCS Coaches Poll,21,Furman,128
2018,regular,1,FCS Coaches Poll,22,Stony Brook,120
2018,regular,1,FCS Coaches Poll,23,Austin Peay,119
2018,regular,1,FCS Coaches Poll,24,Youngstown State,88
2018,regular,1,FCS Coaches Poll,25,Montana,67
2018,regular,1,AFCA Division II Coaches Poll,1,Texas A&M-Commerce,748
2018,regular,1,AFCA Division II Coaches Poll,2,West Florida,721
2018,regular,1,AFCA Division II Coaches Poll,3,Minnesota State,691
2018,regular,1,AFCA Division II Coaches Poll,4,Indiana (PA),666
2018,regular,1,AFCA Division II Coaches Poll,5,Northwest Missouri State,591
2018,regular,1,AFCA Division II Coaches Poll,5,Fort Hays State,591
2018,regular,1,AFCA Division II Coaches Poll,7,Harding,550
2018,regular,1,AFCA Division II Coaches Poll,8,Ferris State,503
2018,regular,1,AFCA Division II Coaches Poll,9,Central Washington,494
2018,regular,1,AFCA Division II Coaches Poll,10,Grand Valley State,478
2018,regular,1,AFCA Division II Coaches Poll,11,Midwestern State,473
2018,regular,1,AFCA Division II Coaches Poll,12,West Alabama,470
2018,regular,1,AFCA Division II Coaches Poll,13,Indianapolis,402
2018,regular,1,AFCA Division II Coaches Poll,14,Colorado State-Pueblo,401
2018,regular,1,AFCA Division II Coaches Poll,15,Ashland,350
2018,regular,1,AFCA Division II Coaches Poll,16,Shepherd,332
2018,regular,1,AFCA Division II Coaches Poll,17,Assumption,292
2018,regular,1,AFCA Division II Coaches Poll,18,Central Missouri State,209
2018,regular,1,AFCA Division II Coaches Poll,19,West Georgia,196
2018,regular,1,AFCA Division II Coaches Poll,20,Sioux Falls,158
2018,regular,1,AFCA Division II Coaches Poll,21,Winona State,134
2018,regular,1,AFCA Division II Coaches Poll,22,Carson-Newman,118
2018,regular,1,AFCA Division II Coaches Poll,23,Ohio Dominican,105
2018,regular,1,AFCA Division II Coaches Poll,24,Ouachita Baptist,102
2018,regular,1,AFCA Division II Coaches Poll,25,Findlay,101
2018,regular,2,AP Top 25,1,Alabama,1511
2018,regular,2,AP Top 25,2,Clemson,1467
2018,regular,2,AP Top 25,3,Georgia,1350
2018,regular,2,AP Top 25,4,Ohio State,1262
2018,regular,2,AP Top 25,5,Wisconsin,1258
2018,regular,2,AP Top 25,6,Oklahoma,1251
2018,regular,2,AP Top 25,7,Auburn,1236
2018,regular,2,AP Top 25,8,Notre Dame,1080
2018,regular,2,AP Top 25,9,Washington,870
2018,regular,2,AP Top 25,10,Stanford,865
2018,regular,2,AP Top 25,11,LSU,801
2018,regular,2,AP Top 25,12,Virginia Tech,777
2018,regular,2,AP Top 25,13,Penn State,768
2018,regular,2,AP Top 25,14,West Virginia,762
2018,regular,2,AP Top 25,15,Michigan State,684
2018,regular,2,AP Top 25,16,TCU,632
2018,regular,2,AP Top 25,17,USC,628
2018,regular,2,AP Top 25,18,Mississippi State,538
2018,regular,2,AP Top 25,19,UCF,407
2018,regular,2,AP Top 25,20,Boise State,391
2018,regular,2,AP Top 25,21,Michigan,318
2018,regular,2,AP Top 25,22,Miami,241
2018,regular,2,AP Top 25,23,Oregon,217
2018,regular,2,AP Top 25,24,South Carolina,125
2018,regular,2,AP Top 25,25,Florida,89
2018,regular,2,Coaches Poll,1,Alabama,1571
2018,regular,2,Coaches Poll,2,Clemson,1498
2018,regular,2,Coaches Poll,3,Georgia,1414
2018,regular,2,Coaches Poll,4,Ohio State,1398
2018,regular,2,Coaches Poll,5,Oklahoma,1312
2018,regular,2,Coaches Poll,6,Wisconsin,1249
2018,regular,2,Coaches Poll,7,Auburn,1219
2018,regular,2,Coaches Poll,8,Notre Dame,1077
2018,regular,2,Coaches Poll,9,Stanford,909
2018,regular,2,Coaches Poll,10,Penn State,893
2018,regular,2,Coaches Poll,11,Washington,800
2018,regular,2,Coaches Poll,12,USC,766
2018,regular,2,Coaches Poll,13,Michigan State,733
2018,regular,2,Coaches Poll,14,Virginia Tech,730
2018,regular,2,Coaches Poll,15,LSU,724
2018,regular,2,Coaches Poll,16,TCU,699
2018,regular,2,Coaches Poll,17,West Virginia,612
2018,regular,2,Coaches Poll,18,Mississippi State,531
2018,regular,2,Coaches Poll,19,Boise State,362
2018,regular,2,Coaches Poll,20,UCF,339
2018,regular,2,Coaches Poll,21,Miami,277
2018,regular,2,Coaches Poll,22,Michigan,227
2018,regular,2,Coaches Poll,23,Oklahoma State,225
2018,regular,2,Coaches Poll,24,South Carolina,189
2018,regular,2,Coaches Poll,25,Florida,138
2018,regular,2,FCS Coaches Poll,1,North Dakota State,650
2018,regular,2,FCS Coaches Poll,2,James Madison,614
