season,seasonType,week,poll,rank,school,points
2014,regular,1,AP Top 25,1,Florida State,1496
2014,regular,1,AP Top 25,2,Alabama,1361
2014,regular,1,AP Top 25,3,Oregon,1334
2014,regular,1,AP Top 25,4,Oklahoma,1324
2014,regular,1,AP Top 25,5,Ohio State,1207
2014,regular,1,AP Top 25,6,Auburn,1198
2014,regular,1,AP Top 25,7,UCLA,1106
2014,regular,1,AP Top 25,8,Michigan State,1080
2014,regular,1,AP Top 25,9,South Carolina,1015
2014,regular,1,AP Top 25,10,Baylor,966
2014,regular,1,AP Top 25,11,Stanford,885
2014,regular,1,AP Top 25,12,Georgia,843
2014,regular,1,AP Top 25,13,LSU,776
2014,regular,1,AP Top 25,14,Wisconsin,637
2014,regular,1,AP Top 25,15,USC,626
2014,regular,1,AP Top 25,16,Clemson,536
2014,regular,1,AP Top 25,17,Notre Dame,445
2014,regular,1,AP Top 25,18,Ole Miss,424
2014,regular,1,AP Top 25,19,Arizona State,357
2014,regular,1,AP Top 25,20,Kansas State,242
2014,regular,1,AP Top 25,21,Texas A&M,238
2014,regular,1,AP Top 25,22,Nebraska,226
2014,regular,1,AP Top 25,23,North Carolina,194
2014,regular,1,AP Top 25,24,Missouri,134
2014,regular,1,AP Top 25,25,Washington,130
2014,regular,1,Coaches Poll,1,Florida State,1543
2014,regular,1,Coaches Poll,2,Alabama,1455
2014,regular,1,Coaches Poll,3,Oklahoma,1382
2014,regular,1,Coaches Poll,4,Oregon,1314
2014,regular,1,Coaches Poll,5,Auburn,1271
2014,regular,1,Coaches Poll,6,Ohio State,1267
2014,regular,1,Coaches Poll,7,UCLA,1085
2014,regular,1,Coaches Poll,8,Michigan State,1050
2014,regular,1,Coaches Poll,9,South Carolina,1009
2014,regular,1,Coaches Poll,10,Baylor,965
2014,regular,1,Coaches Poll,11,Stanford,955
2014,regular,1,Coaches Poll,12,Georgia,905
2014,regular,1,Coaches Poll,13,LSU,833
2014,regular,1,Coaches Poll,14,Wisconsin,654
2014,regular,1,Coaches Poll,15,USC,627
2014,regular,1,Coaches Poll,16,Clemson,535
2014,regular,1,Coaches Poll,17,Notre Dame,509
2014,regular,1,Coaches Poll,18,Arizona State,358
2014,regular,1,Coaches Poll,19,Ole Miss,346
2014,regular,1,Coaches Poll,20,Texas A&M,266
2014,regular,1,Coaches Poll,21,Kansas State,257
2014,regular,1,Coaches Poll,22,Nebraska,228
2014,regular,1,Coaches Poll,23,North Carolina,175
2014,regular,1,Coaches Poll,24,Texas,143
2014,regular,1,Coaches Poll,25,Washington,142
2014,regular,1,FCS Coaches Poll,1,North Dakota State,647
2014,regular,1,FCS Coaches Poll,2,Eastern Washington,626
2014,regular,1,FCS Coaches Poll,3,Southeastern Louisiana,598
2014,regular,1,FCS Coaches Poll,4,Coastal Carolina,540
2014,regular,1,FCS Coaches Poll,5,Montana,495
2014,regular,1,FCS Coaches Poll,6,McNeese,452
2014,regular,1,FCS Coaches Poll,7,Villanova,445
2014,regular,1,FCS Coaches Poll,8,New Hampshire,426
2014,regular,1,FCS Coaches Poll,9,Jacksonville State,413
2014,regular,1,FCS Coaches Poll,10,Fordham,360
2014,regular,1,FCS Coaches Poll,11,South Dakota State,341
2014,regular,1,FCS Coaches Poll,12,Northern Iowa,327
2014,regular,1,FCS Coaches Poll,13,Sam Houston State,323
2014,regular,1,FCS Coaches Poll,14,Eastern Illinois,289
2014,regular,1,FCS Coaches Poll,15,Chattanooga,278
2014,regular,1,FCS Coaches Poll,16,Tennessee State,234
2014,regular,1,FCS Coaches Poll,17,Furman,229
2014,regular,1,FCS Coaches Poll,18,Bethune-Cookman,216
2014,regular,1,FCS Coaches Poll,19,Towson,193
2014,regular,1,FCS Coaches Poll,20,Richmond,174
2014,regular,1,FCS Coaches Poll,21,Youngstown State,147
2014,regular,1,FCS Coaches Poll,22,Maine,144
2014,regular,1,FCS Coaches Poll,23,Montana State,128
2014,regular,1,FCS Coaches Poll,24,William & Mary,80
2014,regular,1,FCS Coaches Poll,25,Southern Illinois,49
2014,regular,2,AP Top 25,1,Florida State,1456
2014,regular,2,AP Top 25,2,Alabama,1317
2014,regular,2,AP Top 25,3,Oregon,1314
2014,regular,2,AP Top 25,4,Oklahoma,1283
2014,regular,2,AP Top 25,5,Auburn,1186
2014,regular,2,AP Top 25,6,Georgia,1114
2014,regular,2,AP Top 25,7,Michigan State,1093
2014,regular,2,AP Top 25,8,Ohio State,982
2014,regular,2,AP Top 25,9,Texas A&M,978
2014,regular,2,AP Top 25,10,Baylor,962
2014,regular,2,AP Top 25,11,UCLA,944
2014,regular,2,AP Top 25,12,LSU,926
2014,regular,2,AP Top 25,13,Stanford,886
2014,regular,2,AP Top 25,14,USC,729
2014,regular,2,AP Top 25,15,Ole Miss,525
2014,regular,2,AP Top 25,16,Notre Dame,519
2014,regular,2,AP Top 25,17,Arizona State,431
2014,regular,2,AP Top 25,18,Wisconsin,364
2014,regular,2,AP Top 25,19,Nebraska,352
2014,regular,2,AP Top 25,20,Kansas State,325
2014,regular,2,AP Top 25,21,South Carolina,196
2014,regular,2,AP Top 25,21,North Carolina,196
2014,regular,2,AP Top 25,23,Clemson,164
2014,regular,2,AP Top 25,24,Missouri,147
2014,regular,2,AP Top 25,25,Louisville,141
2014,regular,2,Coaches Poll,1,Florida State,1541
2014,regular,2,Coaches Poll,2,Alabama,1432
2014,regular,2,Coaches Poll,3,Oklahoma,1407
2014,regular,2,Coaches Poll,4,Oregon,1358
2014,regular,2,Coaches Poll,5,Auburn,1289
2014,regular,2,Coaches Poll,6,Michigan State,1141
2014,regular,2,Coaches Poll,7,Ohio State,1114
2014,regular,2,Coaches Poll,8,Georgia,1108
2014,regular,2,Coaches Poll,9,Baylor,1018
2014,regular,2,Coaches Poll,10,Stanford,999
2014,regular,2,Coaches Poll,11,UCLA,964
2014,regular,2,Coaches Poll,12,LSU,912
2014,regular,2,Coaches Poll,13,Texas A&M,895
2014,regular,2,Coaches Poll,14,USC,713
2014,regular,2,Coaches Poll,15,Notre Dame,605
2014,regular,2,Coaches Poll,16,Arizona State,502
2014,regular,2,Coaches Poll,17,Ole Miss,438
2014,regular,2,Coaches Poll,18,Nebraska,384
2014,regular,2,Coaches Poll,19,Wisconsin,373
2014,regular,2,Coaches Poll,20,Kansas State,370
2014,regular,2,Coaches Poll,21,South Carolina,272
2014,regular,2,Coaches Poll,22,Missouri,189
2014,regular,2,Coaches Poll,23,North Carolina,168
2014,regular,2,Coaches Poll,24,Clemson,155
2014,regular,2,Coaches Poll,25,Texas,150
2014,regular,2,FCS Coaches Poll,1,North Dakota State,647
2014,regular,2,FCS Coaches Poll,2,Eastern Washington,626
2014,regular,2,FCS Coaches Poll,3,Southeastern Louisiana,598
2014,regular,2,FCS Coaches Poll,4,Coastal Carolina,540
2014,regular,2,FCS Coaches Poll,5,Montana,495
2014,regular,2,FCS Coaches Poll,6,McNeese,452
2014,regular,2,FCS Coaches Poll,7,Villanova,445
2014,regular,2,FCS Coaches Poll,8,New Hampshire,426
2014,regular,2,FCS Coaches Poll,9,Jacksonville State,413
2014,regular,2,FCS Coaches Poll,10,Fordham,360
2014,regular,2,FCS Coaches Poll,11,South Dakota State,341
2014,regular,2,FCS Coaches Poll,12,Northern Iowa,327
2014,regular,2,FCS Coaches Poll,13,Sam Houston State,323
2014,regular,2,FCS Coaches Poll,14,Eastern Illinois,289
2014,regular,2,FCS Coaches Poll,15,Chattanooga,278
2014,regular,2,FCS Coaches Poll,16,Tennessee State,234
2014,regular,2,FCS Coaches Poll,17,Furman,229
2014,regular,2,FCS Coaches Poll,18,Bethune-Cookman,216
2014,regular,2,FCS Coaches Poll,19,Towson,193
2014,regular,2,FCS Coaches Poll,20,Richmond,174
2014,regular,2,FCS Coaches Poll,21,Youngstown State,147
2014,regular,2,FCS Coaches Poll,22,Maine,144
2014,regular,2,FCS Coaches Poll,23,Montana State,128
2014,regular,2,FCS Coaches Poll,24,William & Mary,80
2014,regular,2,FCS Coaches Poll,25,Southern Illinois,49
2014,regular,3,AP Top 25,1,Florida State,1463
2014,regular,3,AP Top 25,2,Oregon,1415
2014,regular,3,AP Top 25,3,Alabama,1334
2014,regular,3,AP Top 25,4,Oklahoma,1303
2014,regular,3,AP Top 25,5,Auburn,1236
2014,regular,3,AP Top 25,6,Georgia,1201
2014,regular,3,AP Top 25,7,Texas A&M,1101
2014,regular,3,AP Top 25,8,Baylor,1043
2014,regular,3,AP Top 25,9,USC,1039
2014,regular,3,AP Top 25,10,LSU,1029
2014,regular,3,AP Top 25,11,Notre Dame,815
2014,regular,3,AP Top 25,12,UCLA,779
2014,regular,3,AP Top 25,13,Michigan State,751
2014,regular,3,AP Top 25,14,Ole Miss,703
2014,regular,3,AP Top 25,15,Stanford,592
2014,regular,3,AP Top 25,16,Arizona State,570
2014,regular,3,AP Top 25,17,Virginia Tech,532
2014,regular,3,AP Top 25,18,Wisconsin,391
2014,regular,3,AP Top 25,19,Kansas State,285
2014,regular,3,AP Top 25,20,Missouri,237
2014,regular,3,AP Top 25,21,Louisville,234
2014,regular,3,AP Top 25,22,Ohio State,222
2014,regular,3,AP Top 25,23,Clemson,206
2014,regular,3,AP Top 25,24,South Carolina,199
2014,regular,3,AP Top 25,25,BYU,179
2014,regular,3,Coaches Poll,1,Florida State,1529
2014,regular,3,Coaches Poll,2,Alabama,1435
2014,regular,3,Coaches Poll,3,Oklahoma,1408
2014,regular,3,Coaches Poll,4,Oregon,1407
2014,regular,3,Coaches Poll,5,Auburn,1312
2014,regular,3,Coaches Poll,6,Georgia,1209
2014,regular,3,Coaches Poll,7,Baylor,1135
2014,regular,3,Coaches Poll,8,Texas A&M,1090
2014,regular,3,Coaches Poll,9,LSU,1034
2014,regular,3,Coaches Poll,10,USC,999
2014,regular,3,Coaches Poll,11,Notre Dame,858
2014,regular,3,Coaches Poll,12,UCLA,812
2014,regular,3,Coaches Poll,13,Michigan State,716
2014,regular,3,Coaches Poll,14,Arizona State,646
2014,regular,3,Coaches Poll,15,Ole Miss,609
2014,regular,3,Coaches Poll,16,Stanford,585
2014,regular,3,Coaches Poll,17,Wisconsin,409
2014,regular,3,Coaches Poll,18,Ohio State,402
2014,regular,3,Coaches Poll,19,Virginia Tech,349
2014,regular,3,Coaches Poll,20,Kansas State,333
2014,regular,3,Coaches Poll,21,Nebraska,310
2014,regular,3,Coaches Poll,22,Missouri,281
2014,regular,3,Coaches Poll,23,South Carolina,232
2014,regular,3,Coaches Poll,24,Clemson,212
2014,regular,3,Coaches Poll,25,North Carolina,129
2014,regular,3,FCS Coaches Poll,1,North Dakota State,649
2014,regular,3,FCS Coaches Poll,2,Eastern Washington,619
2014,regular,3,FCS Coaches Poll,3,Southeastern Louisiana,600
2014,regular,3,FCS Coaches Poll,4,Montana,536
2014,regular,3,FCS Coaches Poll,5,Coastal Carolina,528
2014,regular,3,FCS Coaches Poll,6,McNeese,521
2014,regular,3,FCS Coaches Poll,7,Villanova,514
2014,regular,3,FCS Coaches Poll,8,Jacksonville State,441
2014,regular,3,FCS Coaches Poll,9,New Hampshire,430
2014,regular,3,FCS Coaches Poll,10,South Dakota State,416
2014,regular,3,FCS Coaches Poll,11,Northern Iowa,408
2014,regular,3,FCS Coaches Poll,12,Furman,294
2014,regular,3,FCS Coaches Poll,13,Bethune-Cookman,287
2014,regular,3,FCS Coaches Poll,14,Southern Illinois,252
2014,regular,3,FCS Coaches Poll,15,Sam Houston State,242
2014,regular,3,FCS Coaches Poll,16,Youngstown State,202
2014,regular,3,FCS Coaches Poll,17,Chattanooga,193
2014,regular,3,FCS Coaches Poll,18,Montana State,185
2014,regular,3,FCS Coaches Poll,19,William & Mary,166
2014,regular,3,FCS Coaches Poll,20,Maine,153
2014,regular,3,FCS Coaches Poll,21,Richmond,146
2014,regular,3,FCS Coaches Poll,22,Tennessee State,121
2014,regular,3,FCS Coaches Poll,23,Fordham,112
2014,regular,3,FCS Coaches Poll,24,Eastern Illinois,102
2014,regular,3,FCS Coaches Poll,25,Eastern Kentucky,92
2014,regular,4,AP Top 25,1,Florida State,1466
2014,regular,4,AP Top 25,2,Oregon,1424
2014,regular,4,AP Top 25,3,Alabama,1346
2014,regular,4,AP Top 25,4,Oklahoma,1325
2014,regular,4,AP Top 25,5,Auburn,1252
2014,regular,4,AP Top 25,6,Texas A&M,1195
2014,regular,4,AP Top 25,7,Baylor,1134
2014,regular,4,AP Top 25,8,LSU,1114
2014,regular,4,AP Top 25,9,Notre Dame,917
2014,regular,4,AP Top 25,10,Ole Miss,840
2014,regular,4,AP Top 25,11,Michigan State,832
2014,regular,4,AP Top 25,12,UCLA,807
2014,regular,4,AP Top 25,13,Georgia,729
2014,regular,4,AP Top 25,14,South Carolina,718
2014,regular,4,AP Top 25,15,Arizona State,680
2014,regular,4,AP Top 25,16,Stanford,560
2014,regular,4,AP Top 25,17,USC,459
2014,regular,4,AP Top 25,18,Missouri,446
2014,regular,4,AP Top 25,19,Wisconsin,414
2014,regular,4,AP Top 25,20,Kansas State,326
2014,regular,4,AP Top 25,21,BYU,246
2014,regular,4,AP Top 25,22,Clemson,209
2014,regular,4,AP Top 25,23,Ohio State,204
2014,regular,4,AP Top 25,24,Nebraska,172
2014,regular,4,AP Top 25,25,Oklahoma State,126
2014,regular,4,Coaches Poll,1,Florida State,1502
2014,regular,4,Coaches Poll,2,Alabama,1408
2014,regular,4,Coaches Poll,3,Oregon,1399
2014,regular,4,Coaches Poll,4,Oklahoma,1390
2014,regular,4,Coaches Poll,5,Auburn,1297
2014,regular,4,Coaches Poll,6,Baylor,1179
2014,regular,4,Coaches Poll,7,Texas A&M,1159
2014,regular,4,Coaches Poll,8,LSU,1107
2014,regular,4,Coaches Poll,9,Notre Dame,966
2014,regular,4,Coaches Poll,10,UCLA,861
2014,regular,4,Coaches Poll,11,Michigan State,776
2014,regular,4,Coaches Poll,12,Ole Miss,769
2014,regular,4,Coaches Poll,13,Arizona State,732
2014,regular,4,Coaches Poll,14,Georgia,693
2014,regular,4,Coaches Poll,15,Stanford,561
2014,regular,4,Coaches Poll,16,South Carolina,529
2014,regular,4,Coaches Poll,17,Wisconsin,436
2014,regular,4,Coaches Poll,18,Ohio State,402
2014,regular,4,Coaches Poll,19,Missouri,382
2014,regular,4,Coaches Poll,20,Kansas State,381
2014,regular,4,Coaches Poll,21,USC,338
2014,regular,4,Coaches Poll,22,Nebraska,325
2014,regular,4,Coaches Poll,23,BYU,222
2014,regular,4,Coaches Poll,24,Clemson,207
2014,regular,4,Coaches Poll,25,North Carolina,128
2014,regular,4,FCS Coaches Poll,1,North Dakota State,649
2014,regular,4,FCS Coaches Poll,2,Eastern Washington,624
2014,regular,4,FCS Coaches Poll,3,Montana,564
2014,regular,4,FCS Coaches Poll,4,Southeastern Louisiana,552
2014,regular,4,FCS Coaches Poll,5,Coastal Carolina,546
2014,regular,4,FCS Coaches Poll,6,McNeese,529
2014,regular,4,FCS Coaches Poll,7,Villanova,496
2014,regular,4,FCS Coaches Poll,8,Jacksonville State,460
2014,regular,4,FCS Coaches Poll,9,New Hampshire,454
2014,regular,4,FCS Coaches Poll,10,South Dakota State,413
2014,regular,4,FCS Coaches Poll,11,Northern Iowa,380
2014,regular,4,FCS Coaches Poll,12,Bethune-Cookman,321
2014,regular,4,FCS Coaches Poll,13,Southern Illinois,307
2014,regular,4,FCS Coaches Poll,14,Chattanooga,277
2014,regular,4,FCS Coaches Poll,15,Youngstown State,269
2014,regular,4,FCS Coaches Poll,16,Montana State,266
2014,regular,4,FCS Coaches Poll,17,William & Mary,251
2014,regular,4,FCS Coaches Poll,18,Richmond,211
2014,regular,4,FCS Coaches Poll,19,Fordham,158
2014,regular,4,FCS Coaches Poll,20,Tennessee State,150
2014,regular,4,FCS Coaches Poll,21,Furman,118
2014,regular,4,FCS Coaches Poll,22,Eastern Kentucky,114
2014,regular,4,FCS Coaches Poll,23,Northern Arizona,54
2014,regular,4,FCS Coaches Poll,24,Illinois State,47
2014,regular,4,FCS Coaches Poll,25,Sam Houston State,37
2014,regular,4,FCS Coaches Poll,25,Bryant,37
2014,regular,5,AP Top 25,1,Florida State,1439
2014,regular,5,AP Top 25,2,Oregon,1400
2014,regular,5,AP Top 25,3,Alabama,1377
2014,regular,5,AP Top 25,4,Oklahoma,1343
2014,regular,5,AP Top 25,5,Auburn,1268
2014,regular,5,AP Top 25,6,Texas A&M,1232
2014,regular,5,AP Top 25,7,Baylor,1143
2014,regular,5,AP Top 25,8,Notre Dame,967
2014,regular,5,AP Top 25,9,Michigan State,905
