season,seasonType,week,poll,rank,school,points
2021,regular,1,Coaches Poll,1,Alabama,1621
2021,regular,1,Coaches Poll,2,Clemson,1508
2021,regular,1,Coaches Poll,3,Oklahoma,1481
2021,regular,1,Coaches Poll,4,Ohio State,1435
2021,regular,1,Coaches Poll,5,Georgia,1386
2021,regular,1,Coaches Poll,6,Texas A&M,1286
2021,regular,1,Coaches Poll,7,Notre Dame,1139
2021,regular,1,Coaches Poll,8,Iowa State,1131
2021,regular,1,Coaches Poll,9,North Carolina,999
2021,regular,1,Coaches Poll,10,Cincinnati,979
2021,regular,1,Coaches Poll,11,Florida,870
2021,regular,1,Coaches Poll,12,Oregon,842
2021,regular,1,Coaches Poll,13,LSU,664
2021,regular,1,Coaches Poll,14,USC,655
2021,regular,1,Coaches Poll,15,Wisconsin,654
2021,regular,1,Coaches Poll,16,Miami,575
2021,regular,1,Coaches Poll,17,Indiana,573
2021,regular,1,Coaches Poll,18,Iowa,554
2021,regular,1,Coaches Poll,19,Texas,427
2021,regular,1,Coaches Poll,20,Penn State,422
2021,regular,1,Coaches Poll,21,Washington,404
2021,regular,1,Coaches Poll,22,Oklahoma State,216
2021,regular,1,Coaches Poll,23,Louisiana,153
2021,regular,1,Coaches Poll,24,Coastal Carolina,150
2021,regular,1,Coaches Poll,25,Ole Miss,149
2021,regular,1,AP Top 25,1,Alabama,1548
2021,regular,1,AP Top 25,2,Oklahoma,1462
2021,regular,1,AP Top 25,3,Clemson,1447
2021,regular,1,AP Top 25,4,Ohio State,1393
2021,regular,1,AP Top 25,5,Georgia,1364
2021,regular,1,AP Top 25,6,Texas A&M,1223
2021,regular,1,AP Top 25,7,Iowa State,1160
2021,regular,1,AP Top 25,8,Cincinnati,1014
2021,regular,1,AP Top 25,9,Notre Dame,1009
2021,regular,1,AP Top 25,10,North Carolina,999
2021,regular,1,AP Top 25,11,Oregon,968
2021,regular,1,AP Top 25,12,Wisconsin,743
2021,regular,1,AP Top 25,13,Florida,728
2021,regular,1,AP Top 25,14,Miami,663
2021,regular,1,AP Top 25,15,USC,660
2021,regular,1,AP Top 25,16,LSU,631
2021,regular,1,AP Top 25,17,Indiana,549
2021,regular,1,AP Top 25,18,Iowa,513
2021,regular,1,AP Top 25,19,Penn State,456
2021,regular,1,AP Top 25,20,Washington,449
2021,regular,1,AP Top 25,21,Texas,350
2021,regular,1,AP Top 25,22,Coastal Carolina,232
2021,regular,1,AP Top 25,23,Louisiana,208
2021,regular,1,AP Top 25,24,Utah,176
2021,regular,1,AP Top 25,25,Arizona State,125
2021,regular,1,FCS Coaches Poll,1,Sam Houston State,682
2021,regular,1,FCS Coaches Poll,2,James Madison,667
2021,regular,1,FCS Coaches Poll,3,North Dakota State,633
2021,regular,1,FCS Coaches Poll,4,South Dakota State,620
2021,regular,1,FCS Coaches Poll,5,Delaware,567
2021,regular,1,FCS Coaches Poll,6,Weber State,552
2021,regular,1,FCS Coaches Poll,7,North Dakota,475
2021,regular,1,FCS Coaches Poll,8,Jacksonville State,437
2021,regular,1,FCS Coaches Poll,9,Montana,436
2021,regular,1,FCS Coaches Poll,10,Southern Illinois,418
2021,regular,1,FCS Coaches Poll,11,Montana State,383
2021,regular,1,FCS Coaches Poll,12,Monmouth,382
2021,regular,1,FCS Coaches Poll,13,Central Arkansas,363
2021,regular,1,FCS Coaches Poll,14,Eastern Washington,287
2021,regular,1,FCS Coaches Poll,15,Villanova,284
2021,regular,1,FCS Coaches Poll,16,Northern Iowa,268
2021,regular,1,FCS Coaches Poll,17,Southeastern Louisiana,267
2021,regular,1,FCS Coaches Poll,18,Chattanooga,204
