season,seasonType,week,poll,rank,school,points
2015,regular,1,AP Top 25,1,Ohio State,1525
2015,regular,1,AP Top 25,2,TCU,1428
2015,regular,1,AP Top 25,3,Alabama,1322
2015,regular,1,AP Top 25,4,Baylor,1263
2015,regular,1,AP Top 25,5,Michigan State,1256
2015,regular,1,AP Top 25,6,Auburn,1192
2015,regular,1,AP Top 25,7,Oregon,1156
2015,regular,1,AP Top 25,8,USC,1085
2015,regular,1,AP Top 25,9,Georgia,991
2015,regular,1,AP Top 25,10,Florida State,959
2015,regular,1,AP Top 25,11,Notre Dame,873
2015,regular,1,AP Top 25,12,Clemson,862
2015,regular,1,AP Top 25,13,UCLA,698
2015,regular,1,AP Top 25,14,LSU,675
2015,regular,1,AP Top 25,15,Arizona State,605
2015,regular,1,AP Top 25,16,Georgia Tech,588
2015,regular,1,AP Top 25,17,Ole Miss,563
2015,regular,1,AP Top 25,18,Arkansas,410
2015,regular,1,AP Top 25,19,Oklahoma,394
2015,regular,1,AP Top 25,20,Wisconsin,393
2015,regular,1,AP Top 25,21,Stanford,347
2015,regular,1,AP Top 25,22,Arizona,311
2015,regular,1,AP Top 25,23,Boise State,240
2015,regular,1,AP Top 25,24,Missouri,219
2015,regular,1,AP Top 25,25,Tennessee,114
2015,regular,1,Coaches Poll,1,Ohio State,1598
2015,regular,1,Coaches Poll,2,TCU,1487
2015,regular,1,Coaches Poll,3,Alabama,1452
2015,regular,1,Coaches Poll,4,Baylor,1365
2015,regular,1,Coaches Poll,5,Oregon,1260
2015,regular,1,Coaches Poll,6,Michigan State,1230
2015,regular,1,Coaches Poll,7,Auburn,1103
2015,regular,1,Coaches Poll,8,Florida State,1057
2015,regular,1,Coaches Poll,9,Georgia,1026
2015,regular,1,Coaches Poll,10,USC,1014
2015,regular,1,Coaches Poll,11,Notre Dame,883
2015,regular,1,Coaches Poll,12,Clemson,838
2015,regular,1,Coaches Poll,13,LSU,727
2015,regular,1,Coaches Poll,14,UCLA,697
2015,regular,1,Coaches Poll,15,Ole Miss,668
2015,regular,1,Coaches Poll,16,Arizona State,577
2015,regular,1,Coaches Poll,17,Georgia Tech,573
2015,regular,1,Coaches Poll,18,Wisconsin,470
2015,regular,1,Coaches Poll,19,Oklahoma,407
2015,regular,1,Coaches Poll,20,Arkansas,377
2015,regular,1,Coaches Poll,21,Stanford,365
2015,regular,1,Coaches Poll,22,Arizona,299
2015,regular,1,Coaches Poll,23,Missouri,229
2015,regular,1,Coaches Poll,24,Boise State,190
2015,regular,1,Coaches Poll,25,Tennessee,166
2015,regular,1,FCS Coaches Poll,1,Coastal Carolina,517
2015,regular,1,FCS Coaches Poll,2,North Dakota State,490
2015,regular,1,FCS Coaches Poll,2,Villanova,490
2015,regular,1,FCS Coaches Poll,4,Sam Houston State,487
2015,regular,1,FCS Coaches Poll,5,Illinois State,481
2015,regular,1,FCS Coaches Poll,6,Jacksonville State,453
2015,regular,1,FCS Coaches Poll,7,Eastern Washington,437
2015,regular,1,FCS Coaches Poll,8,Montana,393
2015,regular,1,FCS Coaches Poll,9,Montana State,384
2015,regular,1,FCS Coaches Poll,10,South Dakota State,363
2015,regular,1,FCS Coaches Poll,11,James Madison,312
2015,regular,1,FCS Coaches Poll,12,Chattanooga,301
2015,regular,1,FCS Coaches Poll,13,Liberty,280
2015,regular,1,FCS Coaches Poll,14,Northern Iowa,274
2015,regular,1,FCS Coaches Poll,15,New Hampshire,257
2015,regular,1,FCS Coaches Poll,16,Fordham,233
2015,regular,1,FCS Coaches Poll,17,Youngstown State,219
2015,regular,1,FCS Coaches Poll,18,Southeastern Louisiana,175
2015,regular,1,FCS Coaches Poll,19,Eastern Kentucky,174
2015,regular,1,FCS Coaches Poll,20,Cal Poly,130
2015,regular,1,FCS Coaches Poll,21,Indiana State,128
2015,regular,1,FCS Coaches Poll,22,Richmond,77
2015,regular,1,FCS Coaches Poll,23,McNeese,75
2015,regular,1,FCS Coaches Poll,24,Idaho State,68
2015,regular,1,FCS Coaches Poll,25,Harvard,44
2015,regular,1,FCS Coaches Poll,25,William & Mary,44
2015,regular,1,AFCA Division II Coaches Poll,1,Minnesota State,790
2015,regular,1,AFCA Division II Coaches Poll,2,Colorado State-Pueblo,773
2015,regular,1,AFCA Division II Coaches Poll,3,West Georgia,722
2015,regular,1,AFCA Division II Coaches Poll,4,Northwest Missouri State,703
2015,regular,1,AFCA Division II Coaches Poll,5,Pittsburg State,636
2015,regular,1,AFCA Division II Coaches Poll,6,Ferris State,621
2015,regular,1,AFCA Division II Coaches Poll,7,Ohio Dominican,599
2015,regular,1,AFCA Division II Coaches Poll,8,Lenoir-Rhyne,546
2015,regular,1,AFCA Division II Coaches Poll,9,Minnesota-Duluth,531
2015,regular,1,AFCA Division II Coaches Poll,10,Delta State,480
2015,regular,1,AFCA Division II Coaches Poll,11,Ouachita Baptist,475
2015,regular,1,AFCA Division II Coaches Poll,12,Angelo State,463
2015,regular,1,AFCA Division II Coaches Poll,13,North Alabama,401
2015,regular,1,AFCA Division II Coaches Poll,14,Valdosta State,387
2015,regular,1,AFCA Division II Coaches Poll,15,Sioux Falls,364
2015,regular,1,AFCA Division II Coaches Poll,16,Colorado Mines,295
2015,regular,1,AFCA Division II Coaches Poll,17,Azusa Pacific,286
2015,regular,1,AFCA Division II Coaches Poll,18,Texas A&M-Commerce,231
2015,regular,1,AFCA Division II Coaches Poll,19,Harding,204
2015,regular,1,AFCA Division II Coaches Poll,20,Grand Valley State,143
2015,regular,1,AFCA Division II Coaches Poll,21,Slippery Rock,107
2015,regular,1,AFCA Division II Coaches Poll,22,Concord,94
2015,regular,1,AFCA Division II Coaches Poll,23,Indianapolis,77
2015,regular,1,AFCA Division II Coaches Poll,24,Ashland,64
2015,regular,1,AFCA Division II Coaches Poll,25,Shepherd,60
2015,regular,2,AP Top 25,1,Ohio State,1525
2015,regular,2,AP Top 25,2,Alabama,1420
2015,regular,2,AP Top 25,3,TCU,1365
2015,regular,2,AP Top 25,4,Baylor,1252
2015,regular,2,AP Top 25,5,Michigan State,1198
2015,regular,2,AP Top 25,6,Auburn,1166
2015,regular,2,AP Top 25,7,Oregon,1081
2015,regular,2,AP Top 25,8,USC,1074
2015,regular,2,AP Top 25,9,Notre Dame,1061
2015,regular,2,AP Top 25,10,Georgia,981
2015,regular,2,AP Top 25,11,Florida State,942
2015,regular,2,AP Top 25,12,Clemson,862
2015,regular,2,AP Top 25,13,UCLA,833
2015,regular,2,AP Top 25,14,LSU,653
2015,regular,2,AP Top 25,15,Georgia Tech,636
2015,regular,2,AP Top 25,16,Texas A&M,629
2015,regular,2,AP Top 25,17,Ole Miss,600
2015,regular,2,AP Top 25,18,Arkansas,480
2015,regular,2,AP Top 25,19,Oklahoma,469
2015,regular,2,AP Top 25,20,Boise State,279
2015,regular,2,AP Top 25,21,Missouri,274
2015,regular,2,AP Top 25,22,Arizona,259
2015,regular,2,AP Top 25,23,Tennessee,169
2015,regular,2,AP Top 25,24,Utah,137
2015,regular,2,AP Top 25,25,Mississippi State,104
2015,regular,2,Coaches Poll,1,Ohio State,1599
2015,regular,2,Coaches Poll,2,Alabama,1485
2015,regular,2,Coaches Poll,3,TCU,1464
2015,regular,2,Coaches Poll,4,Baylor,1349
2015,regular,2,Coaches Poll,5,Oregon,1279
2015,regular,2,Coaches Poll,6,Michigan State,1252
2015,regular,2,Coaches Poll,7,Auburn,1190
2015,regular,2,Coaches Poll,8,Florida State,1090
2015,regular,2,Coaches Poll,9,Georgia,1075
2015,regular,2,Coaches Poll,10,USC,1035
2015,regular,2,Coaches Poll,11,Notre Dame,994
2015,regular,2,Coaches Poll,12,Clemson,870
2015,regular,2,Coaches Poll,13,UCLA,801
