season,week,gameId,homeTeam,awayTeam,spread,homeWinProb
2016,1,400869175,Air Force,Abilene Christian,-44,0.999
2016,1,400869266,Akron,VMI,-28,0.973
2016,1,400868969,Alabama,USC,-9,0.733
2016,1,400868922,Arizona,BYU,-2.5,0.568
2016,1,400869095,Arizona State,Northern Arizona,-26,0.964
2016,1,400868970,Arkansas,Louisiana Tech,-20.5,0.921
2016,1,400869265,Arkansas State,Toledo,-2.5,0.568
2016,1,400868971,Auburn,Clemson,7.5,0.302
2016,1,400868876,Baylor,Northwestern State,-48.5,1
2016,1,400869424,Boston College,Georgia Tech,3,0.418
2016,1,400869259,Buffalo,Albany,-23,0.944
2016,1,400869090,California,Hawai'i,-23,0.944
2016,1,400869257,Central Michigan,Presbyterian College,-33,0.989
2016,1,400869502,Cincinnati,UT Martin,-24,0.951
2016,1,400869093,Colorado,Colorado State,-10,0.755
2016,1,400869503,Connecticut,Maine,-27,0.969
2016,1,400869425,Duke,North Carolina Central,-37,0.995
2016,1,400869505,East Carolina,Western Carolina,-17,0.879
2016,1,400869263,Eastern Michigan,Mississippi Valley State,-46,0.999
2016,1,400868957,Florida,UMass,-37,0.995
2016,1,400869343,Florida Atlantic,Southern Illinois,-8,0.709
2016,1,400869342,Florida International,Indiana,3,0.418
2016,1,400868979,Florida State,Ole Miss,-5,0.635
2016,1,400869808,Georgia Southern,Savannah State,-53,1
2016,1,400869258,Georgia State,Ball State,5.5,0.352
2016,1,400869507,Houston,Oklahoma,10,0.245
2016,1,400869725,Idaho,Montana State,-7,0.685
2016,1,400869652,Illinois,Murray State,-31,0.984
2016,1,400869262,Iowa,Miami (OH),-32,0.986
2016,1,400868887,Iowa State,Northern Iowa,-11,0.776
2016,1,400869597,Kansas,Rhode Island,-35,0.992
2016,1,400868973,Kentucky,Southern Mississippi,-7.5,0.698
2016,1,400869176,Louisiana,Boise State,18,0.107
2016,1,400869809,Louisiana Monroe,Southern,-16,0.865
2016,1,400869341,Louisville,Charlotte,-39.5,0.997
2016,1,400869653,Maryland,Howard,-51,1
2016,1,400869508,Memphis,Southeast Missouri State,-24,0.951
2016,1,400869718,Miami,Florida A&M,-59,1
2016,1,400869180,Michigan,Hawai'i,-40.5,0.997
2016,1,400869651,Michigan State,Furman,-45,0.999
2016,1,400869344,Middle Tennessee,Alabama A&M,-47,0.999
2016,1,400869092,Minnesota,Oregon State,-7.5,0.698
2016,1,400868975,Mississippi State,South Alabama,-34,0.99
2016,1,400869509,Navy,Fordham,-24,0.951
2016,1,400869422,NC State,William & Mary,-30.5,0.982
2016,1,400869179,Nebraska,Fresno State,-29.5,0.979
2016,1,400869181,Nevada,Cal Poly,-19,0.905
2016,1,400869177,New Mexico,South Dakota,-11,0.776
2016,1,400868972,North Carolina,Georgia,3.5,0.405
2016,1,400869345,North Texas,SMU,12,0.204
2016,1,400869267,Northwestern,Western Michigan,-6.5,0.673
2016,1,400869264,Ohio,Texas State,-19,0.905
2016,1,400869260,Ohio State,Bowling Green,-27,0.969
2016,1,400869619,Oklahoma State,Southeastern Louisiana,-48.5,1
2016,1,400869346,Old Dominion,Hampton,-28,0.973
2016,1,400869096,Oregon,UC Davis,-47,0.999
2016,1,400869261,Penn State,Kent State,-19,0.905
2016,1,400869426,Pittsburgh,Villanova,-27,0.969
2016,1,400869578,Purdue,Eastern Kentucky,-15,0.85
2016,1,400869182,San Diego State,New Hampshire,-34,0.99
2016,1,400869506,South Florida,Towson,-17,0.879
2016,1,400869094,Stanford,Kansas State,-16.5,0.872
2016,1,400869423,Syracuse,Colgate,-25.5,0.961
2016,1,400869624,TCU,South Dakota State,-39.5,0.997
2016,1,400868910,Temple,Army,-21.5,0.931
2016,1,400868977,Tennessee,Appalachian State,-23,0.944
2016,1,400868946,Texas,Notre Dame,2.5,0.432
2016,1,400868978,Texas A&M,UCLA,-1,0.527
2016,1,400869625,Texas Tech,Stephen F. Austin,-42,0.998
2016,1,400869810,Troy,Austin Peay,-37,0.995
2016,1,400869183,Tulsa,San José State,-6,0.66
2016,1,400869504,UCF,South Carolina State,-27,0.969
2016,1,400869174,UNLV,Jackson State,-40,0.997
2016,1,400869091,Utah,Southern Utah,-34,0.99
