season,week,gameId,homeTeam,awayTeam,spread,homeWinProb
2021,1,401310861,Air Force,Lafayette,-40.5,0.997
2021,1,401300993,Appalachian State,East Carolina,-9,0.733
2021,1,401309841,Arizona,BYU,13.5,0.176
2021,1,401309835,Arizona State,Southern Utah,-44.5,0.999
2021,1,401281943,Arkansas,Rice,-19.5,0.911
2021,1,401309598,Arkansas State,Central Arkansas,-13.5,0.824
2021,1,401281944,Auburn,Akron,-37,0.995
2021,1,401309540,Ball State,Western Illinois,-31,0.984
2021,1,401282609,Boston College,Colgate,-42.5,0.998
2021,1,401309542,Buffalo,Wagner,-43.5,0.999
2021,1,401309837,California,Nevada,-3,0.582
2021,1,401282052,Charlotte,Duke,6.5,0.327
2021,1,401300996,Cincinnati,Miami (OH),-22.5,0.94
2021,1,401281946,Clemson,Georgia,-2.5,0.568
2021,1,401328545,Coastal Carolina,The Citadel,-33.5,0.99
2021,1,401309836,Colorado,Northern Colorado,-37.5,0.995
2021,1,401310695,Colorado State,South Dakota State,-2.5,0.568
2021,1,401286188,Connecticut,Holy Cross,-3,0.582
2021,1,401309541,Eastern Michigan,St Francis (PA),-34,0.99
2021,1,401281945,Florida,Florida Atlantic,-23.5,0.947
2021,1,401282051,Florida International,Long Island University,-35,0.992
2021,1,401282614,Florida State,Notre Dame,7.5,0.302
2021,1,401286187,Fresno State,Connecticut,-27.5,0.971
2021,1,401309601,Georgia State,Army,-2.5,0.568
2021,1,401282610,Georgia Tech,Northern Illinois,-19,0.905
2021,1,401310698,Hawai'i,Portland State,-26,0.964
2021,1,401287886,Houston,Texas Tech,-2.5,0.568
2021,1,401282179,Illinois,UT San Antonio,-4.5,0.622
2021,1,401282714,Illinois,Nebraska,6.5,0.327
2021,1,401282723,Iowa,Indiana,-3.5,0.595
2021,1,401287887,Iowa State,Northern Iowa,-28.5,0.975
2021,1,401282050,Jacksonville State,UAB,16.5,0.128
2021,1,401287888,Kansas,South Dakota,-11.5,0.786
2021,1,401287889,Kansas State,Stanford,-3,0.582
2021,1,401281947,Kentucky,Louisiana Monroe,-31,0.984
2021,1,401286294,Liberty,Campbell,-35,0.992
2021,1,401282764,Maryland,West Virginia,2.5,0.432
2021,1,401300997,Memphis,Nicholls,-22.5,0.94
2021,1,401281942,Miami,Alabama,19.5,0.089
2021,1,401282772,Michigan,Western Michigan,-16.5,0.872
2021,1,401282173,Middle Tennessee,Monmouth,-8.5,0.721
2021,1,401282789,Minnesota,Ohio State,14,0.167
2021,1,401281949,Mississippi State,Louisiana Tech,-20.5,0.921
2021,1,401281950,Missouri,Central Michigan,-14,0.833
2021,1,401282174,Navy,Marshall,3,0.418
2021,1,401282607,NC State,South Florida,-19,0.905
2021,1,401327913,Nebraska,Fordham,-42,0.998
2021,1,401310696,New Mexico,Houston Christian,-25.5,0.961
2021,1,401282049,New Mexico State,UTEP,9.5,0.256
2021,1,401282175,North Texas,Northwestern State,-20,0.916
2021,1,401282782,Northwestern,Michigan State,-3,0.582
2021,1,401282611,Ohio,Syracuse,-2,0.555
2021,1,401287894,Oklahoma,Tulane,-31,0.984
2021,1,401287890,Oklahoma State,Missouri State,-38,0.996
2021,1,401282055,Ole Miss,Louisville,-9,0.733
2021,1,401309838,Oregon,Fresno State,-19.5,0.911
2021,1,401282612,Pittsburgh,UMass,-37.5,0.995
2021,1,401282819,Purdue,Oregon State,-7,0.685
2021,1,401282822,Rutgers,Temple,-14,0.833
2021,1,401310699,San Diego State,New Mexico State,-31,0.984
2021,1,401310693,San José State,Southern Utah,-28,0.973
2021,1,401300998,SMU,Abilene Christian,-32,0.986
2021,1,401282177,South Alabama,Southern Mississippi,-2,0.555
2021,1,401281951,South Carolina,Eastern Illinois,-31.5,0.985
2021,1,401287891,TCU,Duquesne,-42,0.998
2021,1,401281952,Tennessee,Bowling Green,-37,0.995
2021,1,401287892,Texas,Louisiana,-8.5,0.721
2021,1,401282053,Texas A&M,Kent State,-29.5,0.979
2021,1,401287893,Texas State,Baylor,13.5,0.176
2021,1,401309543,Toledo,Norfolk State,-39.5,0.997
2021,1,401309602,Troy,Southern,-25,0.958
2021,1,401300994,Tulsa,UC Davis,-22,0.935
2021,1,401300995,UCF,Boise State,-6.5,0.673
2021,1,401309833,UCLA,Hawai'i,-17.5,0.886
2021,1,401281948,UCLA,LSU,2,0.445
2021,1,401310694,UNLV,Eastern Washington,2,0.445
2021,1,401309842,USC,San José State,-14,0.833
2021,1,401309834,Utah,Weber State,-29.5,0.979
2021,1,401282054,Vanderbilt,East Tennessee State,-21,0.926
2021,1,401282613,Virginia,William & Mary,-30.5,0.982
2021,1,401309937,Virginia Tech,North Carolina,5.5,0.352
2021,1,401282608,Wake Forest,Old Dominion,-32.5,0.987
2021,1,401309839,Washington,Montana,-22.5,0.94
2021,1,401309840,Washington State,Utah State,-17,0.879
2021,1,401282815,Wisconsin,Penn State,-5.5,0.648
2021,1,401310697,Wyoming,Montana State,-19,0.905
2021,2,401300999,Akron,Temple,6.5,0.327
2021,2,401282056,Alabama,Mercer,-54,1
2021,2,401309846,Arizona,San Diego State,-1.5,0.541
2021,2,401309847,Arizona State,UNLV,-34.5,0.991
2021,2,401282057,Arkansas,Texas,6,0.34
2021,2,401301003,Arkansas State,Memphis,5.5,0.352
2021,2,401282193,Army,Western Kentucky,-6,0.66
2021,2,401282058,Auburn,Alabama State,-49.5,1
2021,2,401287895,Baylor,Texas Southern,-44.5,0.999
2021,2,401282191,Boise State,UTEP,-25,0.958
2021,2,401309546,Bowling Green,South Alabama,14.5,0.159
2021,2,401309848,BYU,Utah,7,0.315
2021,2,401309548,Central Michigan,Robert Morris,-37.5,0.995
2021,2,401301002,Cincinnati,Murray State,-36.5,0.994
2021,2,401282615,Clemson,South Carolina State,-50.5,1
2021,2,401287896,Coastal Carolina,Kansas,-27,0.969
2021,2,401282067,Colorado,Texas A&M,17,0.121
2021,2,401282068,Colorado State,Vanderbilt,-6.5,0.673
2021,2,401282820,Connecticut,Purdue,35,0.008
2021,2,401282616,Duke,North Carolina A&T,-22.5,0.94
2021,2,401282065,East Carolina,South Carolina,2.5,0.432
2021,2,401282183,Florida Atlantic,Georgia Southern,-7,0.685
2021,2,401282182,Florida International,Texas State,-2,0.555
2021,2,401282617,Florida State,Jacksonville State,-27.5,0.971
2021,2,401310702,Fresno State,Cal Poly,-32.5,0.987
2021,2,401282060,Georgia,UAB,-22.5,0.94
2021,2,401282618,Georgia Tech,Kennesaw State,-20,0.916
2021,2,401282724,Indiana,Idaho,-31.5,0.985
2021,2,401282754,Iowa State,Iowa,-4,0.609
2021,2,401287897,Kansas State,Southern Illinois,-17,0.879
2021,2,401309545,Kent State,VMI,-20,0.916
2021,2,401282061,Kentucky,Missouri,-5.5,0.648
2021,2,401282184,Louisiana Tech,Southeastern Louisiana,-11.5,0.786
2021,2,401282619,Louisville,Eastern Kentucky,-30,0.981
2021,2,401282062,LSU,McNeese,-39,0.996
2021,2,401282185,Marshall,North Carolina Central,-42.5,0.998
2021,2,401286207,Maryland,Howard,-48.5,1
2021,2,401282620,Miami,Appalachian State,-7.5,0.698
2021,2,401282773,Michigan,Washington,-6.5,0.673
2021,2,401282783,Michigan State,Youngstown State,-28.5,0.975
2021,2,401282790,Minnesota,Miami (OH),-19,0.905
2021,2,401282064,Mississippi State,NC State,1.5,0.459
2021,2,401301004,Navy,Air Force,6,0.34
2021,2,401282797,Nebraska,Buffalo,-13.5,0.824
2021,2,401310703,Nevada,Idaho State,-35,0.992
2021,2,401310700,New Mexico,New Mexico State,-19.5,0.911
2021,2,401282621,North Carolina,Georgia State,-26,0.964
2021,2,401309547,Northern Illinois,Wyoming,7,0.315
2021,2,401282804,Northwestern,Indiana State,-28.5,0.975
2021,2,401282705,Notre Dame,Toledo,-16.5,0.872
2021,2,401309753,Ohio,Duquesne,-28.5,0.975
2021,2,401282809,Ohio State,Oregon,-15,0.85
2021,2,401287898,Oklahoma,Western Carolina,-52.5,1
2021,2,401287899,Oklahoma State,Tulsa,-12,0.796
2021,2,401282188,Old Dominion,Hampton,-21.5,0.931
2021,2,401282063,Ole Miss,Austin Peay,-37,0.995
2021,2,401309844,Oregon State,Hawai'i,-11,0.776
2021,2,401282816,Penn State,Ball State,-22.5,0.94
2021,2,401282189,Rice,Houston,7.5,0.302
2021,2,401282187,SMU,North Texas,-22.5,0.94
2021,2,401282190,Southern Mississippi,Grambling,-23,0.944
2021,2,401282059,South Florida,Florida,28.5,0.025
2021,2,401282622,Syracuse,Rutgers,2.5,0.432
2021,2,401287900,TCU,California,-11.5,0.786
2021,2,401282066,Tennessee,Pittsburgh,3.5,0.405
2021,2,401287901,Texas Tech,Stephen F. Austin,-31.5,0.985
2021,2,401286295,Troy,Liberty,3,0.418
2021,2,401301000,Tulane,Morgan State,-47.5,0.999
2021,2,401282623,UMass,Boston College,39,0.004
2021,2,401309843,USC,Stanford,-17.5,0.886
2021,2,401310701,Utah State,North Dakota,-6.5,0.673
2021,2,401282192,UT San Antonio,Lamar,-38,0.996
2021,2,401282624,Virginia,Illinois,-10.5,0.766
2021,2,401282186,Virginia Tech,Middle Tennessee,-20,0.916
2021,2,401282625,Wake Forest,Norfolk State,-43,0.998
2021,2,401309845,Washington State,Portland State,-31,0.984
2021,2,401309544,Western Michigan,Illinois State,-12.5,0.806
2021,2,401287902,West Virginia,Long Island University,-49,1
2021,2,401282825,Wisconsin,Eastern Michigan,-26,0.964
2021,3,401310704,Air Force,Utah State,-9,0.733
2021,3,401309550,Akron,Bryant,-14,0.833
2021,3,401309604,Appalachian State,Elon,-35.5,0.993
2021,3,401309853,Arizona,Northern Arizona,-26.5,0.966
2021,3,401282069,Arkansas,Georgia Southern,-23,0.944
2021,3,401286189,Army,Connecticut,-34.5,0.991
2021,3,401287903,Boise State,Oklahoma State,-3.5,0.595
2021,3,401309551,Bowling Green,Murray State,2.5,0.432
2021,3,401309552,Buffalo,Coastal Carolina,14,0.167
2021,3,401309854,BYU,Arizona State,3,0.418
2021,3,401309849,California,Sacramento State,-24.5,0.954
2021,3,401282627,Clemson,Georgia Tech,-27.5,0.971
2021,3,401282791,Colorado,Minnesota,-2.5,0.568
2021,3,401282628,Duke,Northwestern,2.5,0.432
2021,3,401282071,Florida,Alabama,14,0.167
2021,3,401282198,Florida Atlantic,Fordham,-31,0.984
2021,3,401282072,Georgia,South Carolina,-31.5,0.985
2021,3,401282196,Georgia State,Charlotte,-4.5,0.622
2021,3,401310705,Hawai'i,San José State,8,0.291
2021,3,401301005,Houston,Grambling,-41,0.998
2021,3,401282715,Illinois,Maryland,7,0.315
2021,3,401282725,Indiana,Cincinnati,4,0.391
2021,3,401282755,Iowa,Kent State,-22.5,0.94
2021,3,401287904,Kansas,Baylor,17,0.121
2021,3,401287905,Kansas State,Nevada,1.5,0.459
2021,3,401282073,Kentucky,Chattanooga,-33.5,0.99
2021,3,401282201,Liberty,Old Dominion,-27.5,0.971
2021,3,401309606,Louisiana,Ohio,-19,0.905
2021,3,401309607,Louisiana Monroe,Jackson State,-4.5,0.622
2021,3,401282199,Louisiana Tech,SMU,11,0.224
2021,3,401282626,Louisville,UCF,7,0.315
2021,3,401282074,LSU,Central Michigan,-19.5,0.911
2021,3,401282200,Marshall,East Carolina,-10,0.755
2021,3,401282076,Memphis,Mississippi State,3.5,0.405
