season,week,gameId,homeTeam,awayTeam,spread,homeWinProb
2022,1,401418782,Abilene Christian,Lamar,-16.5,0.872
2022,1,401415209,Air Force,Northern Iowa,-14.5,0.841
2022,1,401403854,Alabama,Utah State,-42,0.998
2022,1,401423448,Alabama State,Howard,1,0.473
2022,1,401420873,Alcorn State,Stephen F. Austin,15,0.15
2022,1,401411095,Appalachian State,North Carolina,-3,0.582
2022,1,401403965,Arizona State,Northern Arizona,-25.5,0.961
2022,1,401403855,Arkansas,Cincinnati,-6.5,0.673
2022,1,401425418,Arkansas State,Grambling,-25.5,0.961
2022,1,401403856,Auburn,Mercer,-30,0.981
2022,1,401418609,Austin Peay,Presbyterian College,-36,0.993
2022,1,401424416,Baylor,Albany,-42.5,0.998
2022,1,401405069,Boston College,Rutgers,-9,0.733
2022,1,401422978,Bucknell,Towson,18,0.107
2022,1,401403968,California,UC Davis,-14,0.833
2022,1,401421137,Campbell,The Citadel,-9.5,0.744
2022,1,401420806,Central Arkansas,Missouri State,16,0.135
2022,1,401422975,Charleston Southern,Western Carolina,3,0.418
2022,1,401426535,Charlotte,William & Mary,-4.5,0.622
2022,1,401413203,Chattanooga,Wofford,-18.5,0.899
2022,1,401404134,Coastal Carolina,Army,-1.5,0.541
2022,1,401403966,Colorado,TCU,13.5,0.176
2022,1,401404147,Connecticut,Central Connecticut,-20.5,0.921
2022,1,401411094,Duke,Temple,-9.5,0.744
2022,1,401411096,East Carolina,NC State,12.5,0.194
2022,1,401416590,Eastern Michigan,Eastern Kentucky,-10.5,0.766
2022,1,401403857,Florida,Utah,2.5,0.432
2022,1,401426530,Florida Atlantic,Charlotte,-7,0.685
2022,1,401426533,Florida International,Bryant,-10.5,0.766
2022,1,401411090,Florida State,Duquesne,-42,0.998
2022,1,401403867,Florida State,LSU,4.5,0.378
2022,1,401413224,Fresno State,Cal Poly,-42.5,0.998
2022,1,401403858,Georgia,Oregon,-16,0.865
2022,1,401420777,Georgia Southern,Morgan State,-39.5,0.997
2022,1,401411101,Georgia Tech,Clemson,24.5,0.046
2022,1,401424417,Hampton,Howard,-9,0.733
2022,1,401403853,Hawai'i,Vanderbilt,9,0.267
2022,1,401426543,Hawai'i,Western Kentucky,16.5,0.128
2022,1,401405058,Illinois,Wyoming,-14,0.833
2022,1,401420846,Incarnate Word,Southern Illinois,4.5,0.378
2022,1,401405061,Indiana,Illinois,-1,0.527
2022,1,401418776,Indiana State,North Alabama,-3.5,0.595
2022,1,401405062,Iowa,South Dakota State,-10.5,0.766
2022,1,401404057,Iowa State,Southeast Missouri State,-33.5,0.99
2022,1,401413213,Jacksonville State,Stephen F. Austin,7.5,0.302
2022,1,401426538,James Madison,Middle Tennessee,-4.5,0.622
2022,1,401404052,Kansas,Tennessee Tech,-30.5,0.982
2022,1,401404056,Kansas State,South Dakota,-27,0.969
2022,1,401403859,Kentucky,Miami (OH),-15,0.85
2022,1,401422987,Lafayette,Sacred Heart,6.5,0.327
2022,1,401421121,Louisiana,Southeastern Louisiana,-13.5,0.824
