season,week,gameId,homeTeam,awayTeam,spread,homeWinProb
2017,1,400945246,Air Force,VMI,-35,0.992
2017,1,400933827,Alabama,Florida State,-7.5,0.698
2017,1,400935251,Arizona,Northern Arizona,-26.5,0.966
2017,1,400935247,Arizona State,New Mexico State,-24,0.951
2017,1,400933828,Arkansas,Florida A&M,-47,0.999
2017,1,400934570,Army,Fordham,-18,0.893
2017,1,400933829,Auburn,Georgia Southern,-34.5,0.991
2017,1,400934489,Baylor,Liberty,-33,0.989
2017,1,400944830,Boise State,Troy,-11,0.776
2017,1,400944890,Central Michigan,Rhode Island,-34.5,0.991
2017,1,400941787,Cincinnati,Austin Peay,-43,0.998
2017,1,400937447,Clemson,Kent State,-38,0.996
2017,1,400938888,Coastal Carolina,UMass,2.5,0.432
2017,1,400935249,Colorado,Colorado State,-3,0.582
2017,1,400941788,Connecticut,Holy Cross,-22.5,0.94
2017,1,400937448,Duke,North Carolina Central,-36,0.993
2017,1,400941790,East Carolina,James Madison,2.5,0.432
2017,1,400944891,Eastern Michigan,Charlotte,-14,0.833
2017,1,400933830,Florida,Michigan,4.5,0.378
2017,1,400938592,Florida Atlantic,Navy,9,0.267
2017,1,400945248,Fresno State,Incarnate Word,-35,0.992
2017,1,400933831,Georgia,Appalachian State,-12.5,0.806
2017,1,400944826,Georgia State,Tennessee State,-15,0.85
2017,1,400933840,Georgia Tech,Tennessee,4,0.391
2017,1,400945249,Hawai'i,Western Carolina,-22.5,0.94
2017,1,400944827,Idaho,Sacramento State,-23.5,0.947
2017,1,400935232,Illinois,Ball State,-5,0.635
2017,1,400935229,Indiana,Ohio State,21,0.074
2017,1,400935233,Iowa,Wyoming,-12,0.796
2017,1,400934488,Iowa State,Northern Iowa,-10,0.755
2017,1,400934490,Kansas,Southeast Missouri State,-29,0.977
2017,1,400934491,Kansas State,Central Arkansas,-27,0.969
2017,1,400944828,Louisiana,Southeastern Louisiana,-14.5,0.841
2017,1,400938593,Louisiana Tech,Northwestern State,-39.5,0.997
2017,1,400933833,LSU,BYU,-14.5,0.841
2017,1,400938594,Marshall,Miami (OH),4,0.391
2017,1,400941789,Memphis,Louisiana Monroe,-27,0.969
2017,1,400937449,Miami,Bethune-Cookman,-48,1
2017,1,400935234,Michigan State,Bowling Green,-17,0.879
2017,1,400933839,Middle Tennessee,Vanderbilt,2.5,0.432
2017,1,400935230,Minnesota,Buffalo,-23,0.944
2017,1,400933835,Mississippi State,Charleston Southern,-23,0.944
2017,1,400933836,Missouri,Missouri State,-35.5,0.993
2017,1,400935235,Nebraska,Arkansas State,-14.5,0.841
2017,1,400945247,New Mexico,Abilene Christian,-34,0.99
2017,1,400935256,North Carolina,California,-12.5,0.806
2017,1,400937446,Northern Illinois,Boston College,3.5,0.405
2017,1,400938595,North Texas,Lamar,-18,0.893
2017,1,400935236,Northwestern,Nevada,-24,0.951
2017,1,400934573,Notre Dame,Temple,-19.5,0.911
2017,1,400944892,Ohio,Hampton,-36,0.993
2017,1,400934492,Oklahoma,UTEP,-43.5,0.999
2017,1,400934493,Oklahoma State,Tulsa,-19.5,0.911
2017,1,400938596,Old Dominion,Albany,-24.5,0.954
2017,1,400933834,Ole Miss,South Alabama,-22,0.935
2017,1,400935253,Oregon,Southern Utah,-39.5,0.997
2017,1,400935254,Oregon State,Portland State,-26,0.964
2017,1,400935237,Penn State,Akron,-30,0.981
2017,1,400937450,Pittsburgh,Youngstown State,-13,0.815
2017,1,400935238,Purdue,Louisville,25.5,0.039
2017,1,400935257,Rice,Stanford,33.5,0.01
2017,1,400935250,Rutgers,Washington,28,0.027
2017,1,400945250,San Diego State,UC Davis,-35,0.992
2017,1,400945251,San José State,Cal Poly,-11,0.776
2017,1,400941792,SMU,Stephen F. Austin,-30,0.981
2017,1,400933837,South Carolina,NC State,-7.5,0.698
2017,1,400933832,Southern Mississippi,Kentucky,10,0.245
2017,1,400941791,South Florida,Stony Brook,-36,0.993
2017,1,400937451,Syracuse,Central Connecticut,-46,0.999
2017,1,400934494,TCU,Jackson State,-60,1
2017,1,400934495,Texas,Maryland,-18.5,0.899
2017,1,400944829,Texas State,Houston Christian,-17,0.879
2017,1,400934496,Texas Tech,Eastern Washington,-13,0.815
2017,1,400944889,Toledo,Elon,-44.5,0.999
2017,1,400941793,Tulane,Grambling,-21,0.926
2017,1,400938597,UAB,Alabama A&M,-28,0.973
2017,1,400938591,UCF,Florida International,-17,0.879
2017,1,400933838,UCLA,Texas A&M,-6.5,0.673
2017,1,400945252,UNLV,Howard,-45,0.999
2017,1,400935252,USC,Western Michigan,-28,0.973
2017,1,400935248,Utah,North Dakota,-21,0.926
2017,1,400937452,Virginia,William & Mary,-28,0.973
2017,1,400934497,Virginia Tech,West Virginia,-4.5,0.622
2017,1,400937445,Wake Forest,Presbyterian College,-42.5,0.998
2017,1,400935255,Washington State,Montana State,-40.5,0.997
2017,1,400938599,Western Kentucky,Eastern Kentucky,-39,0.996
2017,1,400935231,Wisconsin,Utah State,-27.5,0.971
2017,2,400944893,Akron,Arkansas-Pine Bluff,-49,1
2017,2,400933841,Alabama,Fresno State,-42.5,0.998
2017,2,400944831,Appalachian State,Savannah State,-50.5,1
2017,2,400935258,Arizona,Houston,1.5,0.459
2017,2,400935259,Arizona State,San Diego State,-3,0.582
