season,week,gameId,homeTeam,awayTeam,spread,homeWinProb
2019,1,401117494,Air Force,Colgate,-23.5,0.947
2019,1,401110720,Alabama,Duke,-34.5,0.991
2019,1,401121934,Appalachian State,East Tennessee State,-33,0.989
2019,1,401114153,Arizona State,Kent State,-24.5,0.954
2019,1,401110721,Arkansas,Portland State,-29.5,0.979
2019,1,401117858,Arkansas State,SMU,-1.5,0.541
2019,1,401114238,Army,Rice,-23.5,0.947
2019,1,401110722,Auburn,Oregon,-3.5,0.595
2019,1,401112157,Ball State,Indiana,18,0.107
2019,1,401112073,Baylor,Stephen F. Austin,-43.5,0.999
2019,1,401112435,Boston College,Virginia Tech,4.5,0.378
2019,1,401119254,Bowling Green,Morgan State,-24,0.951
2019,1,401119255,Buffalo,Robert Morris,-41.5,0.998
2019,1,401114223,BYU,Utah,5.5,0.352
2019,1,401114174,California,UC Davis,-15.5,0.857
2019,1,401119253,Central Michigan,Albany,-14.5,0.841
2019,1,401135910,Charlotte,Gardner-Webb,-31,0.984
2019,1,401117854,Cincinnati,UCLA,-2.5,0.568
2019,1,401111653,Clemson,Georgia Tech,-36.5,0.994
2019,1,401119256,Coastal Carolina,Eastern Michigan,5,0.365
2019,1,401114184,Colorado,Colorado State,-13,0.815
2019,1,401117855,Connecticut,Wagner,-23,0.944
2019,1,401110723,Florida,Miami,-7,0.685
2019,1,401112431,Florida State,Boise State,-6.5,0.673
2019,1,401114164,Hawai'i,Arizona,10.5,0.234
2019,1,401112145,Illinois,Akron,-18,0.893
2019,1,401112191,Iowa,Miami (OH),-25,0.958
2019,1,401112085,Iowa State,Northern Iowa,-23.5,0.947
2019,1,401112096,Kansas,Indiana State,-7.5,0.698
2019,1,401112106,Kansas State,Nicholls,-20.5,0.921
2019,1,401110724,Kentucky,Toledo,-10,0.755
2019,1,401112434,Liberty,Syracuse,19.5,0.089
2019,1,401110727,Louisiana,Mississippi State,18.5,0.101
2019,1,401128468,Louisiana Monroe,Grambling,-28,0.973
2019,1,401112436,Louisville,Notre Dame,19.5,0.089
2019,1,401110725,LSU,Georgia Southern,-27,0.969
2019,1,401114240,Marshall,VMI,-44,0.999
2019,1,401112201,Maryland,Howard,-29,0.977
2019,1,401110726,Memphis,Ole Miss,-3.5,0.595
2019,1,401112222,Michigan,Middle Tennessee,-36,0.993
2019,1,401112212,Michigan State,Tulsa,-23.5,0.947
2019,1,401112229,Minnesota,South Dakota State,-14.5,0.841
2019,1,401117857,Navy,Holy Cross,-21.5,0.931
2019,1,401112432,NC State,East Carolina,-17.5,0.886
2019,1,401112238,Nebraska,South Alabama,-35.5,0.993
2019,1,401112262,Nevada,Purdue,11,0.224
2019,1,401117495,New Mexico,Sam Houston State,-6.5,0.673
2019,1,401110729,North Carolina,South Carolina,12,0.204
2019,1,401119257,Northern Illinois,Illinois State,-6.5,0.673
2019,1,401114241,North Texas,Abilene Christian,-23,0.944
2019,1,401119259,Ohio,Rhode Island,-25,0.958
2019,1,401112251,Ohio State,Florida Atlantic,-28,0.973
2019,1,401112114,Oklahoma,Houston,-21.5,0.931
2019,1,401114242,Old Dominion,Norfolk State,-25.5,0.961
2019,1,401112122,Oregon State,Oklahoma State,13.5,0.176
2019,1,401112433,Pittsburgh,Virginia,2.5,0.432
2019,1,401112264,Rutgers,UMass,-17,0.879
2019,1,401117496,San Diego State,Weber State,-14,0.833
2019,1,401117493,San José State,Northern Colorado,-17.5,0.886
2019,1,401114243,Southern Mississippi,Alcorn State,-27,0.969
2019,1,401117856,South Florida,Wisconsin,10.5,0.234
2019,1,401112245,Stanford,Northwestern,-6.5,0.673
2019,1,401112129,TCU,Arkansas-Pine Bluff,-55,1
2019,1,401117859,Temple,Bucknell,-42,0.998
2019,1,401110730,Tennessee,Georgia State,-24.5,0.954
2019,1,401112135,Texas,Louisiana Tech,-19,0.905
2019,1,401110731,Texas A&M,Texas State,-33,0.989
2019,1,401112139,Texas Tech,Montana State,-28,0.973
2019,1,401121935,Troy,Campbell,-35.5,0.993
2019,1,401114236,Tulane,Florida International,-3,0.582
2019,1,401114237,UAB,Alabama State,-39,0.996
2019,1,401117853,UCF,Florida A&M,-44,0.999
2019,1,401117497,UNLV,Southern Utah,-24.5,0.954
2019,1,401114218,USC,Fresno State,-14,0.833
2019,1,401114244,UTEP,Houston Christian,-17.5,0.886
2019,1,401114245,UT San Antonio,Incarnate Word,-9.5,0.744
2019,1,401110732,Vanderbilt,Georgia,23.5,0.053
2019,1,401112430,Wake Forest,Utah State,-4.5,0.622
2019,1,401114233,Washington,Eastern Washington,-24.5,0.954
2019,1,401114228,Washington State,New Mexico State,-33,0.989
2019,1,401114246,Western Kentucky,Central Arkansas,-10,0.755
2019,1,401119258,Western Michigan,Monmouth,-24.5,0.954
2019,1,401112143,West Virginia,James Madison,-7,0.685
2019,1,401110728,Wyoming,Missouri,17,0.121
2019,2,401114254,Akron,UAB,7.5,0.302
2019,2,401110773,Alabama,New Mexico State,-55.5,1
2019,2,401114247,Appalachian State,Charlotte,-23.5,0.947
2019,2,401114165,Arizona,Northern Arizona,-28,0.973
2019,2,401114154,Arizona State,Sacramento State,-35,0.992
2019,2,401110774,Auburn,Tulane,-16.5,0.872
2019,2,401119260,Ball State,Fordham,-29.5,0.979
2019,2,401112074,Baylor,UT San Antonio,-25,0.958
2019,2,401114251,Boise State,Marshall,-13.5,0.824
2019,2,401112438,Boston College,Richmond,-33.5,0.99
2019,2,401110784,Clemson,Texas A&M,-16,0.865
2019,2,401112239,Colorado,Nebraska,4.5,0.378
2019,2,401117498,Colorado State,Western Illinois,-12,0.796
2019,2,401112146,Connecticut,Illinois,21,0.074
2019,2,401112439,Duke,North Carolina A&T,-27.5,0.971
2019,2,401117860,East Carolina,Gardner-Webb,-31,0.984
2019,2,401110775,Florida,UT Martin,-44.5,0.999
2019,2,401114249,Florida Atlantic,UCF,14,0.167
2019,2,401114248,Florida International,Western Kentucky,-7.5,0.698
2019,2,401112440,Florida State,Louisiana Monroe,-22.5,0.94
2019,2,401112230,Fresno State,Minnesota,3,0.418
2019,2,401110776,Georgia,Murray State,-49.5,1
2019,2,401121936,Georgia Southern,Maine,-8.5,0.721
2019,2,401121937,Georgia State,Furman,-6,0.66
2019,2,401112441,Georgia Tech,South Florida,-5,0.635
2019,2,401114200,Hawai'i,Oregon State,-7,0.685
2019,2,401117861,Houston,Prairie View,-35,0.992
2019,2,401112158,Indiana,Eastern Illinois,-35.5,0.993
2019,2,401112192,Iowa,Rutgers,-17.5,0.886
2019,2,401112097,Kansas,Coastal Carolina,-7,0.685
2019,2,401112107,Kansas State,Bowling Green,-25,0.958
2019,2,401110777,Kentucky,Eastern Michigan,-15.5,0.857
2019,2,401114347,Louisiana,Liberty,-14,0.833
2019,2,401114250,Louisiana Tech,Grambling,-30.5,0.982
2019,2,401112442,Louisville,Eastern Kentucky,-21,0.926
2019,2,401112202,Maryland,Syracuse,-1,0.527
2019,2,401117862,Memphis,Southern,-41,0.998
2019,2,401119262,Miami (OH),Tennessee Tech,-37.5,0.995
2019,2,401112223,Michigan,Army,-22,0.935
2019,2,401112213,Michigan State,Western Michigan,-14.5,0.841
2019,2,401114252,Middle Tennessee,Tennessee State,-25.5,0.961
2019,2,401110780,Mississippi State,Southern Mississippi,-16.5,0.872
2019,2,401110781,Missouri,West Virginia,-13.5,0.824
2019,2,401112444,NC State,Western Carolina,-41,0.998
2019,2,401112443,North Carolina,Miami,5,0.365
2019,2,401112252,Ohio State,Cincinnati,-15,0.85
